Hourly Averages Time Range: 30/12/2012 00:00 to 31/12/2014 00:00,,,,,
Initial Data,,,,,
Date,Time,CHULLORA WDR 1h average [°],CHULLORA WSP 1h average [m/s],CHULLORA HUMID 1h average [%],CHULLORA SOLAR 1h average [W/m²]
30/12/2012,01:00,43.3,1.3,83.5,-1.6
30/12/2012,02:00,26.1,0.5,81.1,-1.6
30/12/2012,03:00,2.4,0.4,77.4,-1.6
30/12/2012,04:00,263.4,0.7,75.5,-1.6
30/12/2012,05:00,233.2,0.9,86.5,-2
30/12/2012,06:00,137.5,0.4,92.1,9
30/12/2012,07:00,324.3,0.6,91.5,49.9
30/12/2012,08:00,16.4,1,86.9,111.4
30/12/2012,09:00,33.9,0.9,85.3,125.6
30/12/2012,10:00,122.6,1.6,76.7,336.8
30/12/2012,11:00,108.3,1.8,68.5,536.4
30/12/2012,12:00,107.6,2.2,62.8,496.9
30/12/2012,13:00,111.2,2.6,62.4,388.7
30/12/2012,14:00,115.9,2.6,65.5,447.1
30/12/2012,15:00,91.7,3,60.6,602.8
30/12/2012,16:00,89.3,2.7,60.6,430
30/12/2012,17:00,92.3,2.9,61.7,304.7
30/12/2012,18:00,65.3,2.2,64.6,120.3
30/12/2012,19:00,68.3,1.9,66.2,35.9
30/12/2012,20:00,93.9,1.9,67.2,-0.8
30/12/2012,21:00,92.4,1.8,67.8,-1.8
30/12/2012,22:00,60.4,1.5,70.1,-1.9
30/12/2012,23:00,51.3,1.1,72.6,-2.6
30/12/2012,24:00,104.2,0.7,74.9,-2.4
31/12/2012,01:00,118.7,0.4,77.4,-1.8
31/12/2012,02:00,190.2,0.3,80.8,-2.7
31/12/2012,03:00,348.2,0.1,85.1,-2
31/12/2012,04:00,334.5,0.2,86.3,-2.3
31/12/2012,05:00,342.7,0.1,90,-0.2
31/12/2012,06:00,26.8,0.3,89.7,44.9
31/12/2012,07:00,326.2,0.9,75.7,237.1
31/12/2012,08:00,352.4,2,67.8,441
31/12/2012,09:00,19.5,4,60.6,598.8
31/12/2012,10:00,26.9,3.6,54.4,872.2
31/12/2012,11:00,25.7,3.1,49,1002.5
31/12/2012,12:00,32.9,2.8,45.5,1070.5
31/12/2012,13:00,72.6,2.9,48.4,1075.7
31/12/2012,14:00,61.5,3.1,47.7,1012.2
31/12/2012,15:00,55.3,3.9,46.7,894.9
31/12/2012,16:00,55.7,3.5,47.5,722.4
31/12/2012,17:00,47,3.9,49.5,501.1
31/12/2012,18:00,50.3,3.4,50.1,262.1
31/12/2012,19:00,45.8,3.3,54.1,62.6
31/12/2012,20:00,47,2.4,59.3,-1.7
31/12/2012,21:00,100.7,0.8,64.5,-3.6
31/12/2012,22:00,130.7,0.8,69.4,-3.3
31/12/2012,23:00,134.3,0.8,72.8,-3.2
31/12/2012,24:00,65.3,0.2,76,-3
01/01/2013,01:00,200.7,1.4,75.7,-3.4
01/01/2013,02:00,127.3,0.8,79.4,-3.4
01/01/2013,03:00,144.9,1.2,83.1,-3.5
01/01/2013,04:00,128.2,0.9,88.4,-3.5
