Hourly Averages Time Range: 30/12/2018 00:00 to 18/03/2021 00:00,,,,,
Initial Data,,,,,
Date,Time,CHULLORA WDR 1h average [°],CHULLORA WSP 1h average [m/s],CHULLORA HUMID 1h average [%],CHULLORA SOLAR 1h average [W/m²]
30/12/2018,01:00,186,1.3,85.7,-3.9
30/12/2018,02:00,199.5,1,86.5,-3.7
30/12/2018,03:00,174.6,1.3,85.8,-3.7
30/12/2018,04:00,157.2,0.3,88.5,-3.6
30/12/2018,05:00,263.3,0.4,91.1,-1
30/12/2018,06:00,307.2,0.4,89.1,41.9
30/12/2018,07:00,302.1,1,81,175.3
30/12/2018,08:00,336.4,1.4,70.9,485.2
30/12/2018,09:00,349.7,1,58.1,713.8
30/12/2018,10:00,357.5,1.5,48.1,937.8
30/12/2018,11:00,2.2,1.1,36.7,1058.2
30/12/2018,12:00,234.2,0.4,27.2,1113.9
30/12/2018,13:00,130.3,1.9,37.8,1101.7
30/12/2018,14:00,119.4,2.1,34.2,1017.3
30/12/2018,15:00,109,1.7,37,621.3
30/12/2018,16:00,129.8,2.1,39.5,368
30/12/2018,17:00,141.5,1.7,48.9,423.3
30/12/2018,18:00,167.4,2,54.5,142.4
30/12/2018,19:00,130.4,0.8,61.3,35.5
30/12/2018,20:00,125,0.5,66.4,-3
30/12/2018,21:00,151.9,0.9,67.7,-3.6
30/12/2018,22:00,110.6,0.6,68.5,-3.2
30/12/2018,23:00,92.3,0.5,72.7,-3.3
30/12/2018,24:00,140,0.8,70.3,-3.4
31/12/2018,01:00,94.4,0.3,73.6,-3.7
31/12/2018,02:00,62.3,0.5,76.5,-3.3
31/12/2018,03:00,106.4,0.3,86.2,-3.4
31/12/2018,04:00,142.5,0.1,89.5,-3.1
31/12/2018,05:00,333.3,0.2,91.6,-0.5
31/12/2018,06:00,272.9,0.6,85.9,50.4
31/12/2018,07:00,316.2,0.7,79.3,141
31/12/2018,08:00,288.7,1.2,66.1,453.2
31/12/2018,09:00,265.4,1.2,55.5,421.6
31/12/2018,10:00,318.5,1,52.2,526.8
31/12/2018,11:00,350.7,1.1,44,787.4
31/12/2018,12:00,29,1,38.5,712.9
31/12/2018,13:00,54.9,0.8,37.4,744.7
31/12/2018,14:00,51.7,2.2,48.6,853.9
31/12/2018,15:00,71.9,1.7,55.2,448.9
31/12/2018,16:00,99.4,1.1,58.2,175.9
31/12/2018,17:00,93.7,1,68.2,217.3
31/12/2018,18:00,184.7,3.7,73.5,19.5
31/12/2018,19:00,59.9,1.1,87.9,3.1
31/12/2018,20:00,2.7,1.5,87,0.1
31/12/2018,21:00,358,0.8,80.1,0.7
31/12/2018,22:00,268.9,1.1,74.3,0.6
31/12/2018,23:00,9.7,1.9,84.8,-1.5
31/12/2018,24:00,271.2,1.3,79,-1.3
01/01/2019,01:00,315.6,1,79,-1.6
01/01/2019,02:00,318.4,2.2,75,-2.4
01/01/2019,03:00,304.9,1.8,72,-2.4
01/01/2019,04:00,305.5,1.5,72.5,-2.7
01/01/2019,05:00,286.4,1,75.7,-2
01/01/2019,06:00,314.9,0.6,82.2,27.5
01/01/2019,07:00,334.7,0.3,75.5,178.5
01/01/2019,08:00,54,0.2,61,491.6
01/01/2019,09:00,97.9,0.3,49.8,690.1
01/01/2019,10:00,34.2,1,44.2,914.9
01/01/2019,11:00,49.1,1.5,47,1040.1
01/01/2019,12:00,67.7,1.3,39.1,1099.7
01/01/2019,13:00,79.5,1.2,35.1,1093.9
01/01/2019,14:00,77.7,1.4,33.2,1022.7
01/01/2019,15:00,59.9,2.2,31.3,901.6
01/01/2019,16:00,48.3,2.5,29.6,726.9
01/01/2019,17:00,49.2,2.1,37,509.3
01/01/2019,18:00,60.5,1.4,43.3,272
01/01/2019,19:00,57.7,1.4,47.5,70
01/01/2019,20:00,41.8,1,51.4,-2.4
01/01/2019,21:00,49.7,0.5,54.9,-3.9
01/01/2019,22:00,130.3,0.4,56.6,-3.1
01/01/2019,23:00,161.7,1.1,59,-3.9
01/01/2019,24:00,133.7,1.3,71,-3.7
02/01/2019,01:00,106.5,1.2,81.2,-3.8
02/01/2019,02:00,129.9,1.2,87,-3.8
02/01/2019,03:00,134.9,1.1,89.8,-3.7
02/01/2019,04:00,138,0.9,91.7,-3.6
02/01/2019,05:00,159.9,1.8,91.7,-1.9
02/01/2019,06:00,158.7,1.8,91.3,31.2
02/01/2019,07:00,154.9,1.4,88.1,123.3
02/01/2019,08:00,159.8,1.6,83.4,292
02/01/2019,09:00,149.8,0.9,72.7,646.9
02/01/2019,10:00,117.5,0.6,64.3,902.7
02/01/2019,11:00,57.5,1.2,64.4,753.8
02/01/2019,12:00,98.4,1.1,59,1101.7
02/01/2019,13:00,105.7,1.6,55.9,1083.9
02/01/2019,14:00,119.7,1.9,58.9,1014.7
02/01/2019,15:00,106.3,1.2,63.1,142.6
02/01/2019,16:00,88.9,1,68.5,51.8
02/01/2019,17:00,123.7,1.5,68.5,277.1
02/01/2019,18:00,148.2,1.7,69.7,309
02/01/2019,19:00,74.8,1,62.4,20.4
02/01/2019,20:00,158.5,1.7,69.3,-2.1
02/01/2019,21:00,148.6,1.5,79,-3.2
02/01/2019,22:00,135.9,1.3,83.2,-3.4
02/01/2019,23:00,145.4,2,86.4,-2.9
02/01/2019,24:00,145.8,1.5,86.9,-3.1
03/01/2019,01:00,186.5,2.1,86.1,-3.1
03/01/2019,02:00,195.7,2.7,86.7,-2.2
03/01/2019,03:00,170.5,2.4,87,-1.9
03/01/2019,04:00,155.6,1.8,88.4,-2.8
03/01/2019,05:00,163.9,2.3,89,-0.9
03/01/2019,06:00,168.2,1.6,88,41.1
03/01/2019,07:00,198.8,2.2,84.2,86.2
03/01/2019,08:00,204.3,2.4,80,250.8
