Hourly Averages - HUMID Time Range: 01/01/2016 00:00 to 19/03/2021 00:00,Unnamed: 1,Unnamed: 2
Initial Data,,
Date,Time,BARGO HUMID 1h average [%]
01/01/2016,01:00,94.3
01/01/2016,02:00,89.9
01/01/2016,03:00,89.7
01/01/2016,04:00,89.1
01/01/2016,05:00,89.1
01/01/2016,06:00,88.5
01/01/2016,07:00,84.4
01/01/2016,08:00,75.3
01/01/2016,09:00,66.5
01/01/2016,10:00,56.9
01/01/2016,11:00,49.6
01/01/2016,12:00,43.8
01/01/2016,13:00,36.5
01/01/2016,14:00,34.8
01/01/2016,15:00,30.8
01/01/2016,16:00,38.8
01/01/2016,17:00,49.5
01/01/2016,18:00,54.6
01/01/2016,19:00,56.1
01/01/2016,20:00,66
01/01/2016,21:00,83.4
01/01/2016,22:00,88.8
01/01/2016,23:00,93.1
01/01/2016,24:00,94.1
02/01/2016,01:00,92.7
02/01/2016,02:00,93.1
02/01/2016,03:00,95.7
02/01/2016,04:00,97.3
02/01/2016,05:00,96.1
02/01/2016,06:00,96.7
02/01/2016,07:00,88.8
02/01/2016,08:00,82.4
02/01/2016,09:00,79.8
02/01/2016,10:00,73.6
02/01/2016,11:00,64.6
02/01/2016,12:00,60.5
02/01/2016,13:00,51.7
02/01/2016,14:00,51
02/01/2016,15:00,54.5
02/01/2016,16:00,55.5
02/01/2016,17:00,60.7
02/01/2016,18:00,67.5
02/01/2016,19:00,75.8
02/01/2016,20:00,80.8
02/01/2016,21:00,83.3
02/01/2016,22:00,87.2
02/01/2016,23:00,89.6
02/01/2016,24:00,89.2
03/01/2016,01:00,88.8
03/01/2016,02:00,88.9
03/01/2016,03:00,90.4
03/01/2016,04:00,89.4
03/01/2016,05:00,89.6
03/01/2016,06:00,88.6
03/01/2016,07:00,84.5
03/01/2016,08:00,74.6
03/01/2016,09:00,67.3
03/01/2016,10:00,64.4
03/01/2016,11:00,62.3
03/01/2016,12:00,60.2
03/01/2016,13:00,61.9
03/01/2016,14:00,60.2
03/01/2016,15:00,64.7
03/01/2016,16:00,66.9
03/01/2016,17:00,70.5
03/01/2016,18:00,73.2
03/01/2016,19:00,74.1
03/01/2016,20:00,79.4
03/01/2016,21:00,82.5
03/01/2016,22:00,91.9
03/01/2016,23:00,96.5
03/01/2016,24:00,98
04/01/2016,01:00,97.9
04/01/2016,02:00,97.9
