Hourly Averages - SOLAR Time Range: 01/01/2016 00:00 to 19/03/2021 00:00,Unnamed: 1,Unnamed: 2
Initial Data,,
Date,Time,BRINGELLY SOLAR 1h average [W/m²]
01/01/2016,01:00,-1.5
01/01/2016,02:00,-1.4
01/01/2016,03:00,-2.2
01/01/2016,04:00,-1.6
01/01/2016,05:00,1.2
01/01/2016,06:00,85.4
01/01/2016,07:00,293.9
01/01/2016,08:00,514.8
01/01/2016,09:00,734.7
01/01/2016,10:00,815.1
01/01/2016,11:00,1005
01/01/2016,12:00,1125.1
01/01/2016,13:00,1111.7
01/01/2016,14:00,1023.8
01/01/2016,15:00,897.5
01/01/2016,16:00,727.2
01/01/2016,17:00,515.1
01/01/2016,18:00,295.5
01/01/2016,19:00,56.3
01/01/2016,20:00,-1.9
01/01/2016,21:00,-2.5
01/01/2016,22:00,-3.9
01/01/2016,23:00,-3.2
01/01/2016,24:00,-1.6
02/01/2016,01:00,-0.8
02/01/2016,02:00,-1.9
02/01/2016,03:00,-2
02/01/2016,04:00,-2.3
02/01/2016,05:00,1.8
02/01/2016,06:00,59.8
02/01/2016,07:00,207.8
02/01/2016,08:00,421.3
02/01/2016,09:00,686.8
02/01/2016,10:00,778.2
02/01/2016,11:00,752.7
02/01/2016,12:00,1037.8
02/01/2016,13:00,742.5
02/01/2016,14:00,635.6
02/01/2016,15:00,512.7
02/01/2016,16:00,364.9
02/01/2016,17:00,321.8
02/01/2016,18:00,120.2
02/01/2016,19:00,22.8
02/01/2016,20:00,-1.8
02/01/2016,21:00,-1.7
02/01/2016,22:00,-2.6
02/01/2016,23:00,-0.6
02/01/2016,24:00,-1.6
03/01/2016,01:00,-1.3
03/01/2016,02:00,-0.9
03/01/2016,03:00,-0.8
03/01/2016,04:00,-1.9
03/01/2016,05:00,0.7
03/01/2016,06:00,77.8
03/01/2016,07:00,175.1
03/01/2016,08:00,270.5
03/01/2016,09:00,366.4
03/01/2016,10:00,284.7
03/01/2016,11:00,349.1
03/01/2016,12:00,541.4
03/01/2016,13:00,543.6
03/01/2016,14:00,331.6
03/01/2016,15:00,156.3
03/01/2016,16:00,49.8
03/01/2016,17:00,171.4
