Hourly Averages - WDR Time Range: 01/01/2016 00:00 to 19/03/2021 00:00,Unnamed: 1,Unnamed: 2
Initial Data,,
Date,Time,CAMDEN WDR 1h average [°]
01/01/2016,01:00,190.7
01/01/2016,02:00,178.7
01/01/2016,03:00,209.8
01/01/2016,04:00,19.3
01/01/2016,05:00,250
01/01/2016,06:00,228.2
01/01/2016,07:00,225.3
01/01/2016,08:00,318.9
01/01/2016,09:00,336.4
01/01/2016,10:00,350.1
01/01/2016,11:00,24.3
01/01/2016,12:00,19.5
01/01/2016,13:00,23
01/01/2016,14:00,10.4
01/01/2016,15:00,61.7
01/01/2016,16:00,65.1
01/01/2016,17:00,73.5
01/01/2016,18:00,88.9
01/01/2016,19:00,92.3
01/01/2016,20:00,106.8
01/01/2016,21:00,120.5
01/01/2016,22:00,153.7
01/01/2016,23:00,191
01/01/2016,24:00,334.4
02/01/2016,01:00,
02/01/2016,02:00,
02/01/2016,03:00,329.6
02/01/2016,04:00,166.9
02/01/2016,05:00,164.5
02/01/2016,06:00,335.1
02/01/2016,07:00,193.9
02/01/2016,08:00,266.1
02/01/2016,09:00,19.7
02/01/2016,10:00,96.2
02/01/2016,11:00,139.7
02/01/2016,12:00,149.1
02/01/2016,13:00,133.7
02/01/2016,14:00,153.3
02/01/2016,15:00,140.4
02/01/2016,16:00,140.2
02/01/2016,17:00,146.8
02/01/2016,18:00,143.2
02/01/2016,19:00,131.3
02/01/2016,20:00,134
02/01/2016,21:00,156
02/01/2016,22:00,188.9
02/01/2016,23:00,242.1
02/01/2016,24:00,172.4
03/01/2016,01:00,280.3
03/01/2016,02:00,181.5
03/01/2016,03:00,191.1
03/01/2016,04:00,204.3
03/01/2016,05:00,247.5
03/01/2016,06:00,225.3
03/01/2016,07:00,209.7
03/01/2016,08:00,159.1
03/01/2016,09:00,159.3
03/01/2016,10:00,161
03/01/2016,11:00,143.6
03/01/2016,12:00,158
03/01/2016,13:00,150.2
03/01/2016,14:00,150.7
03/01/2016,15:00,149.1
03/01/2016,16:00,150.1
03/01/2016,17:00,164.6
03/01/2016,18:00,189.5
03/01/2016,19:00,186.8
03/01/2016,20:00,184.1
03/01/2016,21:00,196.3
03/01/2016,22:00,268.3
03/01/2016,23:00,184.7
03/01/2016,24:00,203.6
04/01/2016,01:00,204
04/01/2016,02:00,187.4
04/01/2016,03:00,320.8
04/01/2016,04:00,180.5
04/01/2016,05:00,208.3
04/01/2016,06:00,310.6
04/01/2016,07:00,195.3
04/01/2016,08:00,176.7
04/01/2016,09:00,162.6
04/01/2016,10:00,186.1
04/01/2016,11:00,186.7
04/01/2016,12:00,156.8
04/01/2016,13:00,84.3
04/01/2016,14:00,117.6
04/01/2016,15:00,114.3
04/01/2016,16:00,50.2
04/01/2016,17:00,128.1
04/01/2016,18:00,129.8
04/01/2016,19:00,211.6
04/01/2016,20:00,195.5
04/01/2016,21:00,158.9
04/01/2016,22:00,159.7
04/01/2016,23:00,152
04/01/2016,24:00,177.3
05/01/2016,01:00,187
05/01/2016,02:00,196.4
05/01/2016,03:00,191.7
05/01/2016,04:00,167.1
05/01/2016,05:00,166.4
