CHULLORA WDR 1h average [°],CHULLORA WSP 1h average [m/s],CHULLORA HUMID 1h average [%],CHULLORA SOLAR 1h average [W/m²],date_time
245.8,2.7,83.5,-2.0,2009-12-30 01:00:00
219.5,1.9,85.0,-2.2,2009-12-30 02:00:00
247.7,2.7,87.2,-2.4,2009-12-30 03:00:00
242.9,1.8,86.8,-1.4,2009-12-30 04:00:00
236.8,1.9,86.2,0.1,2009-12-30 05:00:00
243.3,1.8,85.7,39.7,2009-12-30 06:00:00
240.1,2.7,80.6,194.9,2009-12-30 07:00:00
193.4,2.8,70.6,271.0,2009-12-30 08:00:00
180.4,4.0,63.2,346.0,2009-12-30 09:00:00
158.5,3.3,57.8,721.6,2009-12-30 10:00:00
134.8,3.0,54.8,626.8,2009-12-30 11:00:00
143.6,3.2,54.1,821.3,2009-12-30 12:00:00
139.6,3.3,54.3,687.7,2009-12-30 13:00:00
113.7,3.1,51.2,776.6,2009-12-30 14:00:00
122.9,3.1,53.8,717.0,2009-12-30 15:00:00
133.5,2.9,55.7,613.3,2009-12-30 16:00:00
108.3,2.8,58.4,329.0,2009-12-30 17:00:00
108.2,3.2,63.0,182.2,2009-12-30 18:00:00
111.5,2.2,65.7,65.6,2009-12-30 19:00:00
77.4,2.5,67.8,0.6,2009-12-30 20:00:00
10.0,1.0,72.3,-3.4,2009-12-30 21:00:00
41.3,0.5,80.6,-3.0,2009-12-30 22:00:00
107.7,1.1,80.4,-2.5,2009-12-30 23:00:00
116.3,0.4,82.8,-2.5,2009-12-31 00:00:00
256.6,1.8,86.7,-2.5,2009-12-31 01:00:00
153.3,1.3,81.9,-2.8,2009-12-31 02:00:00
186.8,0.2,84.6,-2.1,2009-12-31 03:00:00
262.9,1.5,85.2,-1.0,2009-12-31 04:00:00
243.3,1.9,83.3,0.4,2009-12-31 05:00:00
129.4,0.4,82.7,13.7,2009-12-31 06:00:00
247.6,0.7,82.6,47.4,2009-12-31 07:00:00
305.5,0.6,84.9,55.8,2009-12-31 08:00:00
302.2,0.7,85.7,175.8,2009-12-31 09:00:00
21.9,1.6,84.4,187.7,2009-12-31 10:00:00
28.6,1.2,82.3,256.3,2009-12-31 11:00:00
58.0,2.1,75.6,239.8,2009-12-31 12:00:00
43.1,3.0,78.8,386.2,2009-12-31 13:00:00
39.7,3.6,76.1,413.5,2009-12-31 14:00:00
44.8,3.6,71.6,490.7,2009-12-31 15:00:00
57.4,3.4,71.1,350.0,2009-12-31 16:00:00
60.0,4.0,72.5,279.7,2009-12-31 17:00:00
