Year,Population
1788,859
1789,645
1790,2056
1791,2873
1792,3264
1793,3514
1794,3579
1795,3466
1796,4100
1797,4344
1798,4588
1799,5088
1800,5217
1801,5945
1802,7014
1803,7061
1804,7040
1805,6950
1806,7162
1807,7948
1808,9105
1809,10262
1810,10096
1811,10287
1812,10936
1813,12157
1814,12183
1815,13116
1816,15518
1817,17848
1818,22438
1819,26059
1820,28024
1821,29665
1822,29680
1823,30623
1824,35769
1825,38313
1826,38890
1827,39467
1828,40069
1829,40916
1830,44588
1831,48000
1832,53524
1833,62112
1834,66068
1835,71304
1836,78929
1837,86482
1838,98176
1839,113437
1840,127468
1841,145303
1842,162317
1843,169135
1844,178460
1845,187918
1846,196704
1847,205009
1848,220805
1849,247260
1850,266900
1851,197265
1852,204656
1853,224324
1854,241813
1855,266001
1856,288361
1857,306562
1858,335990
1859,327459
1860,348546
1861,357362
1862,366099
1863,377084
1864,390230
1865,408506
1866,428167
1867,444059
1868,462529
1869,480784
1870,497992
1871,516704
1872,534194
1873,552836
1874,573979
1875,593367
1876,613288
1877,642845
1878,671063
1879,708666
1880,741142
1881,777025
1882,809403
1883,855398
1884,899203
1885,943867
1886,983518
1887,1014607
1888,1044290
1889,1074140
1890,1113275
1891,1153170
1892,1183157
1893,1206497
1894,1231755
1895,1255503
1896,1272364
1897,1295589
1898,1317445
1899,1339214
1900,1360305
1901,1375455
1902,1401943
1903,1425183
1904,1455458
1905,1487884
1906,1521618
1907,1561572
1908,1583923
1909,1613899
1910,1643855
1911,1699376
1912,1785412
1913,1844727
1914,1880241
1915,1893449
1916,1885051
1917,1920043
1918,1961967
1919,2038747
1920,2091722
1921,2131690
1922,2181517
1923,2222879
1924,2273023
1925,2322340
1926,2376678
1927,2433655
1928,2483129
1929,2519693
1930,2546353
1931,2566314
1932,2591731
1933,2613604
1934,2636463
1935,2658072
1936,2682320
1937,2711543
1938,2737191
1939,2766415
1940,2790948
1941,2813056
1942,2848140
1943,2870711
1944,2901039
1945,2932998
1946,2962392
1947,3002634
1948,3048306
1949,3149806
1950,3241057
1951,3314672
1952,3367986
1953,3409009
1954,3462532
1955,3526534
1956,3589371
1957,3662904
1958,3728800
1959,3794077
1960,3877261
1961,3951651
1962,4022361
1963,4077743
1964,4142121
1965,4211049
1966,4267452
1967,4329913
1968,4401212
1969,4490765
1970,4573735
1971,4766619
1972,4820846
1973,4868118
1974,4925995
1975,4947441
1976,4978461
1977,5028960
1978,5079392
1979,5140192
1980,5205380
1981,5266894
1982,5328221
1983,5374915
1984,5431752
1985,5496467
1986,5574251
1987,5666219
1988,5752254
1989,5803079
1990,5862497
1991,5928072
1992,5977823
1993,6020171
1994,6071872
1995,6143971
1996,6214548
1997,6274966
1998,6338790
1999,6409971
2000,6485081
2001,6558484
2002,6599441
2003,6634509
2004,6669206
2005,6718023
2006,6786160
2007,6883852
2008,7001782
2009,7101504
2010,7179891
2011,7258722
2012,7353189
2013,7454938
2014,7562171
2015,7671401
2016,7795625
2017,7900946
2018,8003564
2019,8088361
2020,8094300
