Date,Population
6/1/1981,5234889
9/1/1981,5249455
12/1/1981,5266894
3/1/1982,5286119
6/1/1982,5303580
9/1/1982,5315846
12/1/1982,5328221
3/1/1983,5344027
6/1/1983,5352959
9/1/1983,5363744
12/1/1983,5374915
3/1/1984,5389180
6/1/1984,5402729
9/1/1984,5416536
12/1/1984,5431752
3/1/1985,5451549
6/1/1985,5464512
9/1/1985,5478254
12/1/1985,5496467
3/1/1986,5516377
6/1/1986,5531526
9/1/1986,5549928
12/1/1986,5574251
3/1/1987,5596207
6/1/1987,5616736
9/1/1987,5639899
12/1/1987,5666219
3/1/1988,5689397
6/1/1988,5707309
9/1/1988,5730331
12/1/1988,5752254
3/1/1989,5769720
6/1/1989,5776283
9/1/1989,5785625
12/1/1989,5803079
3/1/1990,5818151
6/1/1990,5834021
9/1/1990,5849534
12/1/1990,5862497
3/1/1991,5883248
6/1/1991,5898731
9/1/1991,5916714
12/1/1991,5928072
3/1/1992,5946386
6/1/1992,5957822
9/1/1992,5970754
12/1/1992,5977823
3/1/1993,5990424
6/1/1993,5995055
9/1/1993,6009659
12/1/1993,6020171
3/1/1994,6037096
6/1/1994,6044819
9/1/1994,6063058
12/1/1994,6071872
3/1/1995,6087910
6/1/1995,6105560
9/1/1995,6124648
12/1/1995,6143971
3/1/1996,6159806
6/1/1996,6176461
9/1/1996,6196251
12/1/1996,6214548
3/1/1997,6234303
6/1/1997,6246267
9/1/1997,6260867
12/1/1997,6274966
3/1/1998,6295260
6/1/1998,6305799
9/1/1998,6324111
12/1/1998,6338790
3/1/1999,6360552
6/1/1999,6375103
9/1/1999,6393100
12/1/1999,6409971
3/1/2000,6431826
6/1/2000,6446558
9/1/2000,6465614
12/1/2000,6485081
3/1/2001,6513844
6/1/2001,6530349
9/1/2001,6544891
12/1/2001,6558484
3/1/2002,6575296
6/1/2002,6580807
9/1/2002,6590659
12/1/2002,6599441
3/1/2003,6615712
6/1/2003,6620715
9/1/2003,6627538
12/1/2003,6634509
3/1/2004,6648280
6/1/2004,6650735
9/1/2004,6660416
12/1/2004,6669206
3/1/2005,6685875
6/1/2005,6693206
9/1/2005,6707429
12/1/2005,6718023
3/1/2006,6735528
6/1/2006,6742690
9/1/2006,6766133
12/1/2006,6786160
3/1/2007,6815359
6/1/2007,6834156
9/1/2007,6859736
12/1/2007,6883852
3/1/2008,6919907
6/1/2008,6943461
9/1/2008,6972395
12/1/2008,7001782
3/1/2009,7032423
6/1/2009,7053755
9/1/2009,7079175
12/1/2009,7101504
3/1/2010,7128356
6/1/2010,7144292
9/1/2010,7162726
12/1/2010,7179891
3/1/2011,7204737
6/1/2011,7218529
9/1/2011,7239528
12/1/2011,7258722
3/1/2012,7284982
6/1/2012,7304244
9/1/2012,7327614
12/1/2012,7353189
3/1/2013,7382957
6/1/2013,7404032
9/1/2013,7430904
12/1/2013,7454938
3/1/2014,7487834
6/1/2014,7508353
9/1/2014,7536277
12/1/2014,7562171
3/1/2015,7595731
6/1/2015,7616168
9/1/2015,7645324
12/1/2015,7671401
3/1/2016,7707412
6/1/2016,7732858
9/1/2016,7767915
12/1/2016,7795625
3/1/2017,7833463
6/1/2017,7855316
9/1/2017,7884752
12/1/2017,7900946
3/1/2018,7934688
6/1/2018,7954476
9/1/2018,7984525
12/1/2018,8003564
3/1/2019,8032991
6/1/2019,8046748
9/1/2019,8071350
12/1/2019,8088361
3/1/2020,8112001
6/1/2020,8110610
9/1/2020,8098905
12/1/2020,8094300
3/1/2021,8093015
6/1/2021,8097062
9/1/2021,8088503
12/1/2021,8101223
3/1/2022,8137688
6/1/2022,8166704
9/1/2022,8208590
12/1/2022,8249295
3/1/2023,8303261
6/1/2023,8345013
9/1/2023,8399105
12/1/2023,8434754
