DATE,SOI,SST_DIFF,enso
12/31/2009,13.8,1.59,0
1/1/2010,11.17,1.59,0
1/2/2010,8.91,1.59,0
1/3/2010,4.48,1.59,0
1/4/2010,14.09,1.55,0
1/5/2010,11.69,1.55,0
1/6/2010,-3.43,1.55,0
1/7/2010,-5.88,1.55,0
1/8/2010,-10.69,1.55,1
1/9/2010,-22.42,1.55,1
1/10/2010,-34.43,1.55,1
1/11/2010,-26.52,1.51,1
1/12/2010,-4.85,1.51,0
1/13/2010,-2.73,1.51,0
1/14/2010,-6.12,1.51,0
1/15/2010,-3.06,1.51,0
1/16/2010,-1.74,1.51,0
1/17/2010,-0.04,1.51,0
1/18/2010,-6.64,1.27,0
1/19/2010,-13,1.27,1
1/20/2010,-16.39,1.27,1
1/21/2010,-13.18,1.27,1
1/22/2010,-12.1,1.27,1
1/23/2010,-12.24,1.27,1
1/24/2010,-5.65,1.27,0
1/25/2010,-3.1,1.18,0
1/26/2010,-3.1,1.18,0
1/27/2010,-9.46,1.18,1
1/28/2010,-17.33,1.18,1
1/29/2010,-11.06,1.18,1
1/30/2010,-18.6,1.18,1
1/31/2010,-42.49,1.18,1
2/1/2010,-58.07,0.86,1
2/2/2010,-53.51,0.86,1
2/3/2010,-44.09,0.86,1
2/4/2010,-60.28,0.86,1
2/5/2010,-80.41,0.86,1
2/6/2010,-58.5,0.86,1
2/7/2010,-44.24,0.86,1
2/8/2010,-37.61,0.93,1
2/9/2010,-26.42,0.93,1
2/10/2010,-27.43,0.93,1
2/11/2010,-24.69,0.93,1
2/12/2010,-16.33,0.93,1
2/13/2010,-9.89,0.93,1
2/14/2010,-8.6,0.93,1
2/15/2010,-7.68,0.88,0
2/16/2010,-2.45,0.88,0
2/17/2010,-5.57,0.88,0
2/18/2010,-5.09,0.88,0
2/19/2010,-7.35,0.88,0
2/20/2010,-7.59,0.88,0
2/21/2010,0.67,0.88,0
2/22/2010,8.21,1.05,0
2/23/2010,6.92,1.05,0
2/24/2010,10.47,1.05,0
2/25/2010,13.21,1.05,0
2/26/2010,10.9,1.05,0
2/27/2010,20.27,1.05,0
2/28/2010,4.71,1.05,0
3/1/2010,-6.56,0.9,0
3/2/2010,-12.54,0.9,1
3/3/2010,-25.42,0.9,1
3/4/2010,-22.83,0.9,1
3/5/2010,-35.23,0.9,1
3/6/2010,-33.36,0.9,1
3/7/2010,-22.83,0.9,1
3/8/2010,-15.65,0.85,1
3/9/2010,-14.46,0.85,1
3/10/2010,-16.8,0.85,1
3/11/2010,-25.9,0.85,1
3/12/2010,-29.49,0.85,1
3/13/2010,-24.56,0.85,1
3/14/2010,-12.49,0.85,1
3/15/2010,-5.17,0.86,0
3/16/2010,-2.78,0.86,0
3/17/2010,-2.78,0.86,0
