Date,Population
2010-01-01,7110753.022222222
2010-01-02,7111051.377777778
2010-01-03,7111349.733333333
2010-01-04,7111648.088888889
2010-01-05,7111946.444444444
2010-01-06,7112244.8
2010-01-07,7112543.155555556
2010-01-08,7112841.511111111
2010-01-09,7113139.866666666
2010-01-10,7113438.222222222
2010-01-11,7113736.577777778
2010-01-12,7114034.933333334
2010-01-13,7114333.288888888
2010-01-14,7114631.644444444
2010-01-15,7114930.0
2010-01-16,7115228.355555556
2010-01-17,7115526.711111112
2010-01-18,7115825.066666666
2010-01-19,7116123.422222222
2010-01-20,7116421.777777778
2010-01-21,7116720.133333334
2010-01-22,7117018.488888889
2010-01-23,7117316.844444444
2010-01-24,7117615.2
2010-01-25,7117913.555555556
2010-01-26,7118211.911111111
2010-01-27,7118510.266666667
2010-01-28,7118808.622222222
2010-01-29,7119106.977777778
2010-01-30,7119405.333333333
2010-01-31,7119703.688888889
2010-02-01,7120002.044444445
2010-02-02,7120300.4
2010-02-03,7120598.755555555
2010-02-04,7120897.111111111
2010-02-05,7121195.466666667
2010-02-06,7121493.822222223
2010-02-07,7121792.177777777
2010-02-08,7122090.533333333
2010-02-09,7122388.888888889
2010-02-10,7122687.244444445
2010-02-11,7122985.6
2010-02-12,7123283.955555555
2010-02-13,7123582.311111111
2010-02-14,7123880.666666667
2010-02-15,7124179.022222222
2010-02-16,7124477.377777778
2010-02-17,7124775.733333333
2010-02-18,7125074.088888889
2010-02-19,7125372.444444444
2010-02-20,7125670.8
2010-02-21,7125969.155555556
2010-02-22,7126267.511111111
2010-02-23,7126565.866666666
2010-02-24,7126864.222222222
2010-02-25,7127162.577777778
2010-02-26,7127460.933333334
2010-02-27,7127759.288888888
2010-02-28,7128057.644444444
2010-03-01,7128356.0
2010-03-02,7128529.217391305
2010-03-03,7128702.434782608
2010-03-04,7128875.652173913
2010-03-05,7129048.869565218
2010-03-06,7129222.0869565215
2010-03-07,7129395.304347826
2010-03-08,7129568.521739131
2010-03-09,7129741.739130435
2010-03-10,7129914.956521739
2010-03-11,7130088.173913044
2010-03-12,7130261.391304348
2010-03-13,7130434.608695652
2010-03-14,7130607.826086956
2010-03-15,7130781.043478261
2010-03-16,7130954.260869565
2010-03-17,7131127.478260869
2010-03-18,7131300.695652174
2010-03-19,7131473.9130434785
2010-03-20,7131647.130434782
2010-03-21,7131820.347826087
2010-03-22,7131993.565217392
2010-03-23,7132166.782608695
2010-03-24,7132340.0
2010-03-25,7132513.217391305
2010-03-26,7132686.434782608
2010-03-27,7132859.652173913
2010-03-28,7133032.869565218
2010-03-29,7133206.0869565215
2010-03-30,7133379.304347826
2010-03-31,7133552.521739131
2010-04-01,7133725.739130435
2010-04-02,7133898.956521739
2010-04-03,7134072.173913044
2010-04-04,7134245.391304348
2010-04-05,7134418.608695652
2010-04-06,7134591.826086956
