Year,Month,Predicted_Demand,Date
2023,1,277618.00857535284,2023-01-01
2023,2,253442.59919972005,2023-02-01
2023,3,269223.3667174904,2023-03-01
2023,4,251269.35654348438,2023-04-01
2023,5,272339.5931968033,2023-05-01
2023,6,283883.3798676303,2023-06-01
2023,7,296596.5196101133,2023-07-01
2023,8,285574.5318359569,2023-08-01
2023,9,258251.60961651453,2023-09-01
2023,10,258938.15845567622,2023-10-01
2023,11,255616.56520773855,2023-11-01
2023,12,263185.12453262944,2023-12-01
2024,1,277288.96684316406,2024-01-01
2024,2,267583.4144309495,2024-02-01
2024,3,268768.55961471546,2024-03-01
2024,4,247541.00172609143,2024-04-01
2024,5,280125.0709501112,2024-05-01
2024,6,283517.00327619317,2024-06-01
2024,7,295168.8740983834,2024-07-01
2024,8,281037.7206652645,2024-08-01
2024,9,257618.13438450976,2024-09-01
2024,10,262359.0462022653,2024-10-01
2024,11,258624.34785546942,2024-11-01
2024,12,255427.41467320718,2024-12-01
2025,1,279080.03529894754,2025-01-01
2025,2,245404.21271775427,2025-02-01
2025,3,269511.6679626814,2025-03-01
2025,4,250327.6075579993,2025-04-01
2025,5,273632.92870070785,2025-05-01
2025,6,279938.21899820474,2025-06-01
2025,7,293618.0587104783,2025-07-01
2025,8,276339.32985473174,2025-08-01
2025,9,254227.54519166952,2025-09-01
2025,10,261433.33176123904,2025-10-01
2025,11,252362.00982309558,2025-11-01
2025,12,266511.5798698641,2025-12-01
2026,1,274326.2347865112,2026-01-01
2026,2,245802.68815011473,2026-02-01
2026,3,269312.27898802375,2026-03-01
2026,4,250983.4813340546,2026-04-01
2026,5,266208.3034748737,2026-05-01
2026,6,277430.7193882389,2026-06-01
2026,7,292754.0250714165,2026-07-01
2026,8,284625.62730708043,2026-08-01
2026,9,257745.36791658594,2026-09-01
2026,10,263086.95900445856,2026-10-01
2026,11,255849.49670396012,2026-11-01
2026,12,263832.17219491897,2026-12-01
2027,1,270619.4583066053,2027-01-01
2027,2,245689.89753097517,2027-02-01
2027,3,265153.2564259818,2027-03-01
2027,4,253502.42588092116,2027-04-01
2027,5,274470.4213531467,2027-05-01
2027,6,282948.7043486699,2027-06-01
2027,7,299294.76920250757,2027-07-01
2027,8,283198.0587408564,2027-08-01
2027,9,257680.71621768255,2027-09-01
2027,10,259985.33702053726,2027-10-01
2027,11,255785.3210201345,2027-11-01
2027,12,259769.24480614037,2027-12-01
2028,1,285294.5986753561,2028-01-01
2028,2,264278.99667713454,2028-02-01
2028,3,264378.0462362819,2028-03-01
2028,4,250050.91529024593,2028-04-01
2028,5,274117.7323037905,2028-05-01
2028,6,279178.7361516814,2028-06-01
2028,7,294721.47441054083,2028-07-01
2028,8,282244.7033261649,2028-08-01
2028,9,253086.90567726849,2028-09-01
2028,10,258670.92153439872,2028-10-01
2028,11,250621.76704616364,2028-11-01
2028,12,267958.1165641706,2028-12-01
2029,1,277107.7715891978,2029-01-01
2029,2,246796.84739162485,2029-02-01
2029,3,266512.2602349468,2029-03-01
2029,4,254822.20717985005,2029-04-01
2029,5,271338.88939617574,2029-05-01
2029,6,281633.75640483026,2029-06-01
2029,7,290010.6239222239,2029-07-01
2029,8,282213.94689769694,2029-08-01
2029,9,258397.906808862,2029-09-01
2029,10,261139.14141585267,2029-10-01
2029,11,248862.05990882052,2029-11-01
2029,12,264764.19525970647,2029-12-01
2030,1,273549.36499390233,2030-01-01
2030,2,245872.68312040227,2030-02-01
2030,3,263282.83436840936,2030-03-01
2030,4,245544.91315960305,2030-04-01
2030,5,262094.4458648742,2030-05-01
2030,6,269624.19042508554,2030-06-01
2030,7,277171.1740483804,2030-07-01
2030,8,270526.8572293933,2030-08-01
2030,9,247047.58174464834,2030-09-01
2030,10,250898.10390246156,2030-10-01
2030,11,247147.58399732757,2030-11-01
2030,12,252865.51511255512,2030-12-01
2031,1,272498.7367925425,2031-01-01
2031,2,244779.8687952407,2031-02-01
2031,3,257030.98986500863,2031-03-01
2031,4,241871.5592081879,2031-04-01
2031,5,265390.3994886901,2031-05-01
2031,6,268051.2394670945,2031-06-01
2031,7,278145.48627957894,2031-07-01
2031,8,268549.541008626,2031-08-01
2031,9,246180.74288702503,2031-09-01
2031,10,250902.30319815615,2031-10-01
2031,11,248660.78758611478,2031-11-01
2031,12,244389.43557187033,2031-12-01
2032,1,266778.2070830771,2032-01-01
2032,2,242287.88653505742,2032-02-01
2032,3,258421.7024835971,2032-03-01
2032,4,245580.5437331902,2032-04-01
2032,5,261839.8064968575,2032-05-01
2032,6,268072.4753460261,2032-06-01
2032,7,276618.4558188668,2032-07-01
2032,8,262837.1426543473,2032-08-01
2032,9,243052.50098536667,2032-09-01
2032,10,248728.60401317416,2032-10-01
2032,11,242856.5046506971,2032-11-01
2032,12,254042.13757539942,2032-12-01
2033,1,260533.96941696294,2033-01-01
2033,2,230531.96822066477,2033-02-01
2033,3,247316.1893473747,2033-03-01
2033,4,228096.15742572467,2033-04-01
2033,5,242652.91213341715,2033-05-01
2033,6,253311.6788683273,2033-06-01
2033,7,266077.47026353015,2033-07-01
2033,8,262028.77094736957,2033-08-01
2033,9,230578.97075284904,2033-09-01
2033,10,234137.97901687498,2033-10-01
2033,11,236761.4716321975,2033-11-01
2033,12,238989.45367925847,2033-12-01
2034,1,250536.49031354857,2034-01-01
2034,2,228180.6292625875,2034-02-01
2034,3,242899.8804320894,2034-03-01
2034,4,227725.02132848214,2034-04-01
2034,5,250982.3427419749,2034-05-01
2034,6,258752.2099771946,2034-06-01
