Year,Month,Predicted_Demand,Date
2023,1,275174.9,2023-01-01
2023,2,256121.03,2023-02-01
2023,3,271075.7,2023-03-01
2023,4,246639.62,2023-04-01
2023,5,270532.1,2023-05-01
2023,6,283768.53,2023-06-01
2023,7,296886.06,2023-07-01
2023,8,283881.53,2023-08-01
2023,9,253886.0,2023-09-01
2023,10,251170.7,2023-10-01
2023,11,253162.92,2023-11-01
2023,12,256046.03,2023-12-01
2024,1,270966.4,2024-01-01
2024,2,267282.4,2024-02-01
2024,3,265559.75,2024-03-01
2024,4,241861.67,2024-04-01
2024,5,278269.28,2024-05-01
2024,6,283169.38,2024-06-01
2024,7,295502.25,2024-07-01
2024,8,281216.3,2024-08-01
2024,9,253415.73,2024-09-01
2024,10,255271.45,2024-10-01
2024,11,254800.72,2024-11-01
2024,12,249260.19,2024-12-01
2025,1,276707.2,2025-01-01
2025,2,250017.83,2025-02-01
2025,3,269134.5,2025-03-01
2025,4,248827.77,2025-04-01
2025,5,271678.6,2025-05-01
2025,6,280593.8,2025-06-01
2025,7,292026.62,2025-07-01
2025,8,277366.78,2025-08-01
2025,9,250661.56,2025-09-01
2025,10,255347.34,2025-10-01
2025,11,247682.95,2025-11-01
2025,12,263569.75,2025-12-01
2026,1,269593.12,2026-01-01
2026,2,249690.75,2026-02-01
2026,3,270855.8,2026-03-01
2026,4,248164.19,2026-04-01
2026,5,266208.03,2026-05-01
2026,6,276436.22,2026-06-01
2026,7,293237.38,2026-07-01
2026,8,285913.3,2026-08-01
2026,9,256005.56,2026-09-01
2026,10,257802.34,2026-10-01
2026,11,254978.05,2026-11-01
2026,12,262870.03,2026-12-01
2027,1,272422.78,2027-01-01
2027,2,252627.56,2027-02-01
2027,3,268928.62,2027-03-01
2027,4,250850.75,2027-04-01
2027,5,274005.66,2027-05-01
2027,6,284254.5,2027-06-01
2027,7,302437.25,2027-07-01
2027,8,286656.72,2027-08-01
2027,9,258120.64,2027-09-01
2027,10,258135.69,2027-10-01
