Year,Month,Predicted_Demand,Date
2023,1,289559.06,2023-01-01
2023,2,256961.19,2023-02-01
2023,3,275240.9,2023-03-01
2023,4,259907.56,2023-04-01
2023,5,280799.3,2023-05-01
2023,6,291399.97,2023-06-01
2023,7,301815.2,2023-07-01
2023,8,292921.0,2023-08-01
2023,9,265941.53,2023-09-01
2023,10,268952.1,2023-10-01
2023,11,260816.98,2023-11-01
2023,12,268959.94,2023-12-01
2024,1,287464.97,2024-01-01
2024,2,270450.7,2024-02-01
2024,3,272032.12,2024-03-01
2024,4,259320.34,2024-04-01
2024,5,287089.9,2024-05-01
2024,6,285697.66,2024-06-01
2024,7,299551.56,2024-07-01
2024,8,282814.84,2024-08-01
2024,9,259356.67,2024-09-01
2024,10,266133.2,2024-10-01
2024,11,257042.19,2024-11-01
2024,12,260635.95,2024-12-01
2025,1,284466.72,2025-01-01
2025,2,246724.47,2025-02-01
2025,3,267928.0,2025-03-01
2025,4,256279.25,2025-04-01
2025,5,275189.38,2025-05-01
2025,6,279785.25,2025-06-01
2025,7,291671.12,2025-07-01
2025,8,274427.62,2025-08-01
2025,9,249181.7,2025-09-01
2025,10,254768.95,2025-10-01
2025,11,244864.14,2025-11-01
2025,12,263995.2,2025-12-01
2026,1,277932.22,2026-01-01
2026,2,244453.12,2026-02-01
2026,3,266576.94,2026-03-01
2026,4,251427.03,2026-04-01
2026,5,265414.53,2026-05-01
2026,6,273042.0,2026-06-01
2026,7,288665.47,2026-07-01
2026,8,279123.75,2026-08-01
2026,9,250540.33,2026-09-01
2026,10,253347.89,2026-10-01
2026,11,246300.25,2026-11-01
2026,12,255582.22,2026-12-01
2027,1,277721.75,2027-01-01
2027,2,243729.28,2027-02-01
2027,3,261969.27,2027-03-01
2027,4,252638.89,2027-04-01
2027,5,271528.62,2027-05-01
2027,6,274809.12,2027-06-01
2027,7,291993.5,2027-07-01
2027,8,274656.8,2027-08-01
2027,9,247918.05,2027-09-01
2027,10,251271.25,2027-10-01
2027,11,249299.27,2027-11-01
2027,12,257887.1,2027-12-01
2028,1,280551.88,2028-01-01
2028,2,251908.97,2028-02-01
2028,3,262992.5,2028-03-01
2028,4,251987.22,2028-04-01
2028,5,263808.84,2028-05-01
2028,6,273738.12,2028-06-01
2028,7,281994.0,2028-07-01
2028,8,274710.16,2028-08-01
2028,9,248303.36,2028-09-01
2028,10,249052.42,2028-10-01
2028,11,237735.12,2028-11-01
2028,12,258799.08,2028-12-01
2029,1,275416.34,2029-01-01
2029,2,242022.73,2029-02-01
2029,3,257999.69,2029-03-01
2029,4,242513.38,2029-04-01
2029,5,266003.44,2029-05-01
2029,6,278632.28,2029-06-01
2029,7,284771.84,2029-07-01
2029,8,275470.0,2029-08-01
2029,9,250003.64,2029-09-01
2029,10,253236.22,2029-10-01
2029,11,246131.38,2029-11-01
2029,12,257082.53,2029-12-01
2030,1,277831.53,2030-01-01
2030,2,244802.2,2030-02-01
2030,3,256655.1,2030-03-01
2030,4,244556.05,2030-04-01
2030,5,270793.5,2030-05-01
2030,6,271630.3,2030-06-01
2030,7,285777.1,2030-07-01
2030,8,266784.3,2030-08-01
2030,9,244567.81,2030-09-01
2030,10,250465.94,2030-10-01
2030,11,243866.4,2030-11-01
2030,12,247407.03,2030-12-01
2031,1,271742.5,2031-01-01
2031,2,234209.22,2031-02-01
2031,3,254464.42,2031-03-01
2031,4,240912.03,2031-04-01
2031,5,260527.28,2031-05-01
2031,6,267354.8,2031-06-01
2031,7,277181.97,2031-07-01
2031,8,259873.8,2031-08-01
2031,9,234659.22,2031-09-01
2031,10,240656.94,2031-10-01
2031,11,232406.02,2031-11-01
2031,12,253125.7,2031-12-01
2032,1,265197.2,2032-01-01
2032,2,240871.67,2032-02-01
2032,3,253992.28,2032-03-01
2032,4,237964.62,2032-04-01
2032,5,251743.67,2032-05-01
2032,6,261409.39,2032-06-01
2032,7,275419.7,2032-07-01
2032,8,265634.62,2032-08-01
2032,9,235546.19,2032-09-01
2032,10,240730.95,2032-10-01
2032,11,237149.78,2032-11-01
2032,12,245970.25,2032-12-01
2033,1,265068.6,2033-01-01
2033,2,233312.84,2033-02-01
2033,3,248752.97,2033-03-01
2033,4,238717.84,2033-04-01
2033,5,263476.8,2033-05-01
2033,6,263718.8,2033-06-01
2033,7,279865.12,2033-07-01
2033,8,264208.8,2033-08-01
2033,9,235326.62,2033-09-01
2033,10,241130.05,2033-10-01
2033,11,238337.33,2033-11-01
2033,12,249592.61,2033-12-01
2034,1,268619.75,2034-01-01
2034,2,235028.69,2034-02-01
2034,3,251920.94,2034-03-01
2034,4,240115.6,2034-04-01
2034,5,252374.56,2034-05-01
2034,6,264287.56,2034-06-01
2034,7,270478.97,2034-07-01
2034,8,265979.1,2034-08-01
2034,9,235693.62,2034-09-01
2034,10,238058.88,2034-10-01
2034,11,228027.84,2034-11-01
2034,12,249049.94,2034-12-01
2035,1,266447.62,2035-01-01
2035,2,232158.27,2035-02-01
2035,3,246323.69,2035-03-01
2035,4,231759.42,2035-04-01
2035,5,255231.0,2035-05-01
2035,6,268893.75,2035-06-01
2035,7,273703.5,2035-07-01
2035,8,263951.1,2035-08-01
2035,9,238392.19,2035-09-01
2035,10,242952.0,2035-10-01
2035,11,237197.16,2035-11-01
2035,12,249211.58,2035-12-01
2036,1,270243.8,2036-01-01
2036,2,243119.78,2036-02-01
2036,3,246562.73,2036-03-01
2036,4,235234.5,2036-04-01
2036,5,260542.38,2036-05-01
2036,6,262141.62,2036-06-01
2036,7,274967.44,2036-07-01
2036,8,255342.44,2036-08-01
2036,9,236637.98,2036-09-01
2036,10,238721.75,2036-10-01
2036,11,234723.3,2036-11-01
2036,12,240286.4,2036-12-01
2037,1,262863.88,2037-01-01
2037,2,225997.73,2037-02-01
2037,3,244903.67,2037-03-01
2037,4,229890.98,2037-04-01
2037,5,252611.77,2037-05-01
2037,6,258582.1,2037-06-01
2037,7,265878.06,2037-07-01
2037,8,249753.58,2037-08-01
2037,9,224706.94,2037-09-01
2037,10,231304.38,2037-10-01
2037,11,225817.61,2037-11-01
2037,12,246109.39,2037-12-01
2038,1,257766.33,2038-01-01
2038,2,224117.81,2038-02-01
2038,3,244841.34,2038-03-01
2038,4,228276.28,2038-04-01
2038,5,242406.47,2038-05-01
2038,6,253676.28,2038-06-01
2038,7,267186.62,2038-07-01
2038,8,256093.7,2038-08-01
2038,9,225716.05,2038-09-01
2038,10,233701.19,2038-10-01
2038,11,230629.56,2038-11-01
2038,12,240332.56,2038-12-01
2039,1,256280.86,2039-01-01
2039,2,227138.66,2039-02-01
2039,3,239176.47,2039-03-01
2039,4,230451.47,2039-04-01
2039,5,256306.97,2039-05-01
2039,6,257154.84,2039-06-01
2039,7,273667.5,2039-07-01
2039,8,255611.77,2039-08-01
2039,9,228412.16,2039-09-01
2039,10,234963.89,2039-10-01
2039,11,231995.52,2039-11-01
2039,12,244476.88,2039-12-01
2040,1,261437.2,2040-01-01
2040,2,237579.27,2040-02-01
2040,3,244883.55,2040-03-01
2040,4,231604.16,2040-04-01
2040,5,246743.4,2040-05-01
2040,6,256604.03,2040-06-01
2040,7,263661.88,2040-07-01
2040,8,260312.88,2040-08-01
2040,9,227819.66,2040-09-01
2040,10,231228.39,2040-10-01
2040,11,222105.28,2040-11-01
2040,12,246725.0,2040-12-01
2041,1,260013.16,2041-01-01
2041,2,224886.92,2041-02-01
2041,3,238552.6,2041-03-01
2041,4,226136.77,2041-04-01
2041,5,248066.17,2041-05-01
2041,6,263428.34,2041-06-01
2041,7,265929.56,2041-07-01
2041,8,254312.17,2041-08-01
2041,9,232966.39,2041-09-01
2041,10,236389.92,2041-10-01
2041,11,232726.38,2041-11-01
2041,12,246620.56,2041-12-01
2042,1,269012.9,2042-01-01
2042,2,226505.39,2042-02-01
2042,3,242139.48,2042-03-01
2042,4,229945.73,2042-04-01
2042,5,253717.14,2042-05-01
2042,6,256334.33,2042-06-01
2042,7,267966.06,2042-07-01
2042,8,249057.7,2042-08-01
2042,9,230730.03,2042-09-01
2042,10,232826.42,2042-10-01
2042,11,231588.52,2042-11-01
2042,12,237419.78,2042-12-01
2043,1,258255.28,2043-01-01
2043,2,222165.83,2043-02-01
2043,3,239880.75,2043-03-01
2043,4,224264.48,2043-04-01
2043,5,248222.97,2043-05-01
2043,6,253128.9,2043-06-01
2043,7,261206.83,2043-07-01
2043,8,242980.73,2043-08-01
2043,9,219698.81,2043-09-01
2043,10,227148.27,2043-10-01
2043,11,222212.56,2043-11-01
2043,12,243592.42,2043-12-01
2044,1,254172.92,2044-01-01
2044,2,229233.2,2044-02-01
2044,3,239186.89,2044-03-01
2044,4,226248.66,2044-04-01
2044,5,237571.25,2044-05-01
2044,6,250454.9,2044-06-01
2044,7,263448.88,2044-07-01
2044,8,249727.25,2044-08-01
2044,9,220587.36,2044-09-01
2044,10,229542.8,2044-10-01
2044,11,227967.97,2044-11-01
2044,12,240534.58,2044-12-01
2045,1,250355.16,2045-01-01
2045,2,224446.03,2045-02-01
2045,3,235767.38,2045-03-01
2045,4,227635.06,2045-04-01
2045,5,253405.31,2045-05-01
