Year,Month,Predicted_Demand,Date
2023,1,294853.1682554609,2023-01-01
2023,2,266759.25537698565,2023-02-01
2023,3,285140.9025555212,2023-03-01
2023,4,268317.9469490052,2023-04-01
2023,5,291006.9454523675,2023-05-01
2023,6,302246.75745621923,2023-06-01
2023,7,311914.54651461774,2023-07-01
2023,8,301059.3997029733,2023-08-01
2023,9,272397.9484419807,2023-09-01
2023,10,275931.48204308905,2023-10-01
2023,11,269125.7294069551,2023-11-01
2023,12,277626.0405794317,2023-12-01
2024,1,295268.38263217174,2024-01-01
2024,2,278463.6977036857,2024-02-01
2024,3,281923.1250768815,2024-03-01
2024,4,265049.5827997846,2024-04-01
2024,5,297506.42745845014,2024-05-01
2024,6,296535.5347619895,2024-06-01
2024,7,309125.63123766973,2024-07-01
2024,8,292730.64645959414,2024-08-01
2024,9,267480.41439114546,2024-09-01
2024,10,272747.27856628137,2024-10-01
2024,11,266278.99006134743,2024-11-01
2024,12,266004.7648235589,2024-12-01
2025,1,290700.71781126776,2025-01-01
2025,2,253366.75584708608,2025-02-01
2025,3,275035.36825997644,2025-03-01
2025,4,262030.43673443305,2025-04-01
2025,5,284672.08430982585,2025-05-01
2025,6,289028.51666144194,2025-06-01
2025,7,300831.6869297825,2025-07-01
2025,8,282815.57057227305,2025-08-01
2025,9,254504.98789661628,2025-09-01
2025,10,262404.5657239032,2025-10-01
2025,11,251006.70188750932,2025-11-01
2025,12,270682.55183834524,2025-12-01
2026,1,281121.73646303307,2026-01-01
2026,2,249819.2710514362,2026-02-01
2026,3,273281.1826637891,2026-03-01
2026,4,256330.3006666668,2026-04-01
2026,5,271845.9970369646,2026-05-01
2026,6,281532.56360942096,2026-06-01
2026,7,297565.68463720765,2026-07-01
2026,8,288478.02800488577,2026-08-01
2026,9,258305.76149336377,2026-09-01
2026,10,262057.1871829399,2026-10-01
2026,11,254205.52815039916,2026-11-01
2026,12,264756.7138322155,2026-12-01
2027,1,280323.7086352283,2027-01-01
2027,2,248202.20936632028,2027-02-01
2027,3,267197.430007589,2027-03-01
2027,4,258438.82296452767,2027-04-01
2027,5,278432.4589286967,2027-05-01
2027,6,284712.2320715103,2027-06-01
2027,7,302226.49220575707,2027-07-01
2027,8,283002.00531660323,2027-08-01
2027,9,255798.1955783328,2027-09-01
2027,10,258195.69209865457,2027-10-01
2027,11,253997.3066548789,2027-11-01
2027,12,263874.4536184362,2027-12-01
2028,1,284116.9559634495,2028-01-01
2028,2,256330.51060444707,2028-02-01
2028,3,267707.0783944669,2028-03-01
2028,4,256194.53526632968,2028-04-01
2028,5,269651.82593780186,2028-05-01
2028,6,280939.7448322437,2028-06-01
2028,7,288642.37650358025,2028-07-01
2028,8,280371.3670343183,2028-08-01
2028,9,254493.7305737956,2028-09-01
2028,10,255819.25219178715,2028-10-01
2028,11,241775.87366504277,2028-11-01
2028,12,263081.33443319873,2028-12-01
2029,1,275890.04563699494,2029-01-01
2029,2,246566.5946264804,2029-02-01
2029,3,262916.6636741805,2029-03-01
2029,4,245150.93390950034,2029-04-01
2029,5,270748.4369321526,2029-05-01
2029,6,282942.0007741703,2029-06-01
2029,7,287144.0074155011,2029-07-01
2029,8,277659.9967391356,2029-08-01
2029,9,251170.3088285009,2029-09-01
2029,10,253045.03117638585,2029-10-01
2029,11,248299.01833336367,2029-11-01
2029,12,257942.47112723158,2029-12-01
2030,1,280162.9767881364,2030-01-01
2030,2,247374.6924605785,2030-02-01
2030,3,260544.95181862373,2030-03-01
2030,4,245345.16269238145,2030-04-01
2030,5,275285.38156194857,2030-05-01
2030,6,275369.4043603906,2030-06-01
2030,7,288587.27044518274,2030-07-01
2030,8,271078.96840854996,2030-08-01
2030,9,247034.0433423204,2030-09-01
2030,10,252376.37322424224,2030-10-01
2030,11,247330.6234756214,2030-11-01
2030,12,247162.14415354174,2030-12-01
2031,1,272429.7649628063,2031-01-01
2031,2,236113.8060383743,2031-02-01
2031,3,257158.3734473699,2031-03-01
2031,4,242891.1803018295,2031-04-01
2031,5,263495.34429037635,2031-05-01
2031,6,270755.9417388419,2031-06-01
2031,7,280408.0472016446,2031-07-01
2031,8,261904.18530695693,2031-08-01
2031,9,236617.31747830243,2031-09-01
2031,10,244091.72073805385,2031-10-01
2031,11,234094.79346450334,2031-11-01
2031,12,255076.67661824785,2031-12-01
2032,1,262670.98733812966,2032-01-01
2032,2,241980.4951297241,2032-02-01
2032,3,257925.94504541028,2032-03-01
2032,4,239395.21027199167,2032-04-01
2032,5,253792.83777294934,2032-05-01
2032,6,264381.3602803603,2032-06-01
2032,7,276967.9975741514,2032-07-01
2032,8,269199.9584939131,2032-08-01
2032,9,239491.93096427925,2032-09-01
2032,10,243668.3807116569,2032-10-01
2032,11,241054.78502160046,2032-11-01
2032,12,248533.1304807973,2032-12-01
2033,1,263293.2205484396,2033-01-01
2033,2,234414.90757014215,2033-02-01
2033,3,251246.48264557798,2033-03-01
2033,4,239769.32519923683,2033-04-01
2033,5,265552.02292254457,2033-05-01
2033,6,267369.4145457599,2033-06-01
2033,7,282338.65746758424,2033-07-01
2033,8,266679.13106505014,2033-08-01
2033,9,238487.05622267257,2033-09-01
2033,10,243412.27937627598,2033-10-01
2033,11,239460.6932438512,2033-11-01
2033,12,250588.64128360507,2033-12-01
2034,1,268677.9505744134,2034-01-01
2034,2,235614.00054228897,2034-02-01
2034,3,252665.45958664644,2034-03-01
2034,4,241366.81248421007,2034-04-01
2034,5,252510.8188118795,2034-05-01
2034,6,265288.707627222,2034-06-01
2034,7,271371.2379128802,2034-07-01
2034,8,264782.23973740306,2034-08-01
2034,9,237977.97454773576,2034-09-01
2034,10,240662.84322815094,2034-10-01
2034,11,227878.66890615557,2034-11-01
2034,12,249112.44175751376,2034-12-01
2035,1,264627.3991306531,2035-01-01
2035,2,233793.55707417705,2035-02-01
2035,3,248100.21646658238,2035-03-01
2035,4,232448.11457995203,2035-04-01
2035,5,255465.58991105075,2035-05-01
2035,6,266957.3565054619,2035-06-01
2035,7,271643.7333670967,2035-07-01
2035,8,262610.6952612051,2035-08-01
2035,9,237184.65199921987,2035-09-01
2035,10,241963.73499972388,2035-10-01
2035,11,237533.2231596682,2035-11-01
2035,12,247872.3356920528,2035-12-01
2036,1,271225.1009153317,2036-01-01
2036,2,242755.62882076402,2036-02-01
2036,3,245976.61102919801,2036-03-01
2036,4,235300.14795246886,2036-04-01
2036,5,260261.3332816238,2036-05-01
2036,6,260299.12107805198,2036-06-01
2036,7,274367.73052773724,2036-07-01
2036,8,255772.7991195589,2036-08-01
2036,9,237618.67862905833,2036-09-01
2036,10,240375.06478132098,2036-10-01
2036,11,235819.76153268147,2036-11-01
2036,12,240517.79688297797,2036-12-01
2037,1,259782.2433919955,2037-01-01
2037,2,225868.98289995262,2037-02-01
2037,3,245919.98668354607,2037-03-01
2037,4,230793.62335726575,2037-04-01
2037,5,252108.37064613678,2037-05-01
2037,6,258925.36376606225,2037-06-01
2037,7,264992.4222530537,2037-07-01
2037,8,249905.2364710541,2037-08-01
2037,9,226612.62428084578,2037-09-01
2037,10,232333.15990464948,2037-10-01
2037,11,227514.1741728938,2037-11-01
2037,12,246295.53204869592,2037-12-01
2038,1,254077.75147962576,2038-01-01
2038,2,223495.9805100573,2038-02-01
2038,3,245469.52886675872,2038-03-01
2038,4,229297.84495026007,2038-04-01
2038,5,244133.8612199443,2038-05-01
2038,6,253828.26005191164,2038-06-01
2038,7,265870.8600207284,2038-07-01
2038,8,257741.72259844726,2038-08-01
2038,9,228509.10124651832,2038-09-01
2038,10,234871.07733507003,2038-10-01
2038,11,233807.6132904702,2038-11-01
2038,12,240531.71765875054,2038-12-01
2039,1,253543.61918797044,2039-01-01
2039,2,226984.72609372827,2039-02-01
2039,3,240109.41118371076,2039-03-01
2039,4,231287.66278616752,2039-04-01
2039,5,257088.58752546526,2039-05-01
2039,6,258042.81569688348,2039-06-01
2039,7,273661.71940567263,2039-07-01
2039,8,256150.9305085288,2039-08-01
2039,9,229315.62415560836,2039-09-01
2039,10,235358.2583255928,2039-10-01
2039,11,232210.9123072569,2039-11-01
2039,12,244522.47465878093,2039-12-01
2040,1,261913.1906923661,2040-01-01
2040,2,237815.59789568034,2040-02-01
2040,3,245990.01630989974,2040-03-01
2040,4,232937.23185906943,2040-04-01
2040,5,247036.3834335451,2040-05-01
2040,6,257887.49933452994,2040-06-01
2040,7,262462.7364873841,2040-07-01
2040,8,259294.3010152432,2040-08-01
2040,9,231073.1915886719,2040-09-01
2040,10,233679.76579383155,2040-10-01
2040,11,223077.62098906425,2040-11-01
2040,12,246520.6117293719,2040-12-01
2041,1,260430.55633357368,2041-01-01
2041,2,226377.4503455701,2041-02-01
2041,3,239731.30713405213,2041-03-01
2041,4,228987.33281940766,2041-04-01
