Year,Population,Predicted_Demand
2023,8323889,9978112000.0
2024,8453902,10133962000.0
2025,8580341,10285529000.0
2026,8702446,10431900000.0
2027,8820393,10573288000.0
2028,8933348,10708690000.0
2029,9041818,10838716000.0
2030,9145140,10962571000.0
2031,9243603,11080602000.0
2032,9336512,11191975000.0
2033,9427851,11301466000.0
2034,9517701,11409171000.0
2035,9606150,11515201000.0
2036,9693298,11619667000.0
2037,9779151,11722581000.0
2038,9863776,11824024000.0
2039,9947242,11924079000.0
2040,10029571,12022770000.0
2041,10110747,12120076000.0
2042,10190742,12215969000.0
2043,10269523,12310404000.0
2044,10347053,12403344000.0
2045,10423309,12494753000.0
2046,10498248,12584585000.0
2047,10571845,12672807000.0
2048,10644117,12759441000.0
2049,10715051,12844473000.0
2050,10784657,12927912000.0
2051,10852988,13009824000.0
2052,10920102,13090275000.0
2053,10986093,13169377000.0
2054,11051038,13247231000.0
2055,11115048,13323963000.0
2056,11178188,13399651000.0
2057,11240534,13474384000.0
2058,11302149,13548246000.0
2059,11363061,13621265000.0
2060,11423305,13693480000.0
2061,11482897,13764913000.0
2062,11541857,13835592000.0
2063,11600209,13905538000.0
2064,11657954,13974762000.0
2065,11715112,14043279000.0
2066,11771677,14111087000.0
2067,11827657,14178190000.0
2068,11883035,14244573000.0
2069,11937781,14310198000.0
2070,11991839,14375001000.0
2071,12045167,14438927000.0
