Year,Week,Predicted_Demand,Date
2023,1,60597.12066140857,2023-01-02
2023,2,65452.61636217678,2023-01-09
2023,3,63100.4689358435,2023-01-16
2023,4,63903.58182274872,2023-01-23
2023,5,63682.66210076218,2023-01-30
2023,6,65126.96046241652,2023-02-06
2023,7,61817.70201142213,2023-02-13
2023,8,62960.52884576563,2023-02-20
2023,9,60207.67742093976,2023-02-27
2023,10,61099.23141677509,2023-03-06
2023,11,60075.357505597625,2023-03-13
2023,12,61862.775049740376,2023-03-20
2023,13,59934.17099083665,2023-03-27
2023,14,57835.924953014786,2023-04-03
2023,15,58050.82198718968,2023-04-10
2023,16,59069.825145495706,2023-04-17
2023,17,58911.81863462865,2023-04-24
2023,18,59292.620583924225,2023-05-01
2023,19,60392.14366372892,2023-05-08
2023,20,62605.02374164347,2023-05-15
2023,21,63789.494763750605,2023-05-22
2023,22,62969.963433089695,2023-05-29
2023,23,65903.76852958881,2023-06-05
2023,24,66766.4599293008,2023-06-12
2023,25,65492.709562554664,2023-06-19
2023,26,69545.89684658946,2023-06-26
2023,27,68054.21668046742,2023-07-03
2023,28,65481.672048432425,2023-07-10
2023,29,68252.8514519213,2023-07-17
2023,30,66091.44992900825,2023-07-24
2023,31,65589.8101632177,2023-07-31
2023,32,66130.8395957089,2023-08-07
2023,33,63103.500563701135,2023-08-14
2023,34,64138.08818005851,2023-08-21
2023,35,61673.18362095927,2023-08-28
2023,36,61465.66266232254,2023-09-04
2023,37,60138.38026688776,2023-09-11
2023,38,59418.70309853194,2023-09-18
2023,39,59534.27356402428,2023-09-25
2023,40,57871.8129072695,2023-10-02
2023,41,58471.64014880724,2023-10-09
2023,42,59088.51451200404,2023-10-16
2023,43,58726.509281102946,2023-10-23
2023,44,59175.1620287212,2023-10-30
2023,45,60179.135497026786,2023-11-06
2023,46,60264.95428525207,2023-11-13
2023,47,59694.19089670472,2023-11-20
2023,48,58963.34925898623,2023-11-27
2023,49,61495.77877905628,2023-12-04
2023,50,60138.76765636167,2023-12-11
2023,51,57989.37237176317,2023-12-18
2023,52,65516.37516046738,2023-12-25
2024,1,77328.0419851953,2024-01-01
2024,2,62183.78549216137,2024-01-08
2024,3,62606.10229450019,2024-01-15
2024,4,65235.02173529823,2024-01-22
2024,5,68692.97709424663,2024-01-29
2024,6,63537.01754124457,2024-02-05
2024,7,60885.63632132028,2024-02-12
2024,8,63749.24442880392,2024-02-19
2024,9,61869.32544186257,2024-02-26
2024,10,60358.048181070386,2024-03-04
2024,11,61057.82414074853,2024-03-11
2024,12,60602.560172077334,2024-03-18
2024,13,58436.23028767441,2024-03-25
2024,14,57681.471702804156,2024-04-01
2024,15,57881.900068423005,2024-04-08
2024,16,58189.608600330364,2024-04-15
2024,17,58265.34485216116,2024-04-22
2024,18,60221.00459039183,2024-04-29
2024,19,64264.105192627496,2024-05-06
2024,20,64729.43225855751,2024-05-13
2024,21,62492.76161372912,2024-05-20
2024,22,63537.04863648159,2024-05-27
2024,23,67580.93250670415,2024-06-03
2024,24,65385.045346055645,2024-06-10
2024,25,66325.04957895441,2024-06-17
2024,26,66207.094024602,2024-06-24
2024,27,65135.27705994017,2024-07-01
2024,28,68358.18516752441,2024-07-08
2024,29,67477.78908370362,2024-07-15
2024,30,67393.11450267183,2024-07-22
2024,31,62783.943711910855,2024-07-29
2024,32,65607.19958970408,2024-08-05
2024,33,65188.30023147982,2024-08-12
2024,34,62919.86823993411,2024-08-19
2024,35,61333.50830140113,2024-08-26
2024,36,61114.96410725743,2024-09-02
2024,37,61007.99305283598,2024-09-09
2024,38,58389.858699006596,2024-09-16
2024,39,60567.48233022059,2024-09-23
2024,40,61189.127611683216,2024-09-30
2024,41,59193.87996786871,2024-10-07
2024,42,58847.7489841166,2024-10-14
2024,43,59949.53760622492,2024-10-21
2024,44,58854.71067521586,2024-10-28
2024,45,61355.26129760565,2024-11-04
2024,46,60112.73590942659,2024-11-11
2024,47,59669.14527818638,2024-11-18
2024,48,60324.546090413634,2024-11-25
2024,49,58690.4122256078,2024-12-02
2024,50,58228.22527678547,2024-12-09
2024,51,58500.180499311144,2024-12-16
2024,52,55089.08631723862,2024-12-23
2025,1,68606.51647288604,2025-01-06
2025,2,63832.61505390839,2025-01-13
2025,3,62313.1439869917,2025-01-20
2025,4,63746.94057596762,2025-01-27
2025,5,61654.62754243598,2025-02-03
2025,6,62323.321566161525,2025-02-10
2025,7,59818.076108521724,2025-02-17
2025,8,61696.05142847555,2025-02-24
2025,9,61828.36254561383,2025-03-03
2025,10,61107.08351763876,2025-03-10
2025,11,61368.92362812007,2025-03-17
2025,12,60594.486865409235,2025-03-24
2025,13,60606.9506560894,2025-03-31
2025,14,58572.582245576705,2025-04-07
2025,15,58475.4120182592,2025-04-14
2025,16,59366.197709371234,2025-04-21
2025,17,58555.385292507955,2025-04-28
2025,18,59585.014989025956,2025-05-05
2025,19,60317.795212585705,2025-05-12
2025,20,61683.38684156489,2025-05-19
2025,21,64248.69094005391,2025-05-26
2025,22,62394.41350369885,2025-06-02
2025,23,64195.54102247846,2025-06-09
2025,24,65327.5960968008,2025-06-16
2025,25,67372.03508384156,2025-06-23
2025,26,64926.822725455786,2025-06-30
2025,27,66593.10000078416,2025-07-07
2025,28,67170.07133202857,2025-07-14
2025,29,63616.76798687882,2025-07-21
2025,30,67846.2599445801,2025-07-28
2025,31,64834.21148521729,2025-08-04
2025,32,63745.888701903845,2025-08-11
2025,33,62377.017618276244,2025-08-18
2025,34,63482.60998328609,2025-08-25
2025,35,60443.419781832,2025-09-01
2025,36,59432.73814533684,2025-09-08
2025,37,59832.69816165981,2025-09-15
2025,38,59221.81632626079,2025-09-22
2025,39,59344.78424085317,2025-09-29
2025,40,59211.24360697122,2025-10-06
2025,41,59659.94721635992,2025-10-13
2025,42,59267.753716451356,2025-10-20
2025,43,60255.324922033666,2025-10-27
2025,44,59101.70460063087,2025-11-03
2025,45,60328.093316916296,2025-11-10
2025,46,59424.80149523919,2025-11-17
2025,47,59493.03217667276,2025-11-24
2025,48,58568.767508933364,2025-12-01
2025,49,59829.78413601883,2025-12-08
2025,50,61190.6013126616,2025-12-15
2025,51,63692.647479067615,2025-12-22
2025,52,58128.61553043192,2025-12-29
2026,1,35079.690892771076,2026-01-05
2026,2,60502.80892957561,2026-01-12
2026,3,63202.76680908726,2026-01-19
2026,4,60666.64996677969,2026-01-26
2026,5,63042.20371910539,2026-02-02
2026,6,61211.403603609455,2026-02-09
2026,7,62779.09276938074,2026-02-16
2026,8,60697.395896746806,2026-02-23
2026,9,60781.785436516635,2026-03-02
2026,10,61334.76994569363,2026-03-09
2026,11,61182.029110924486,2026-03-16
2026,12,61219.27809355096,2026-03-23
2026,13,60298.96281487903,2026-03-30
2026,14,60263.40050669107,2026-04-06
2026,15,58814.37057869812,2026-04-13
2026,16,58221.761926513136,2026-04-20
2026,17,58165.580476283474,2026-04-27
2026,18,60167.98667525391,2026-05-04
2026,19,60425.13496535146,2026-05-11
2026,20,60434.44657164923,2026-05-18
2026,21,59433.57460801261,2026-05-25
2026,22,60488.86561241043,2026-06-01
2026,23,63194.66731609097,2026-06-08
2026,24,64836.430786624886,2026-06-15
2026,25,64516.785206844164,2026-06-22
2026,26,65046.49874940341,2026-06-29
2026,27,66810.09795303672,2026-07-06
2026,28,67289.90103218485,2026-07-13
2026,29,66749.65496795955,2026-07-20
2026,30,66208.65260713451,2026-07-27
2026,31,63094.16541260213,2026-08-03
2026,32,65344.35218674714,2026-08-10
2026,33,66307.16965732841,2026-08-17
2026,34,63808.76523263878,2026-08-24
2026,35,62497.86452261998,2026-08-31
2026,36,62393.03411940562,2026-09-07
2026,37,59675.25261698762,2026-09-14
2026,38,60364.08583916189,2026-09-21
2026,39,59246.35596389056,2026-09-28
2026,40,59742.718042155604,2026-10-05
2026,41,59351.542256431334,2026-10-12
2026,42,59885.816322348954,2026-10-19
2026,43,60354.0329683502,2026-10-26
2026,44,60263.00241484707,2026-11-02
2026,45,58904.25466287406,2026-11-09
2026,46,59894.03629918394,2026-11-16
2026,47,62577.50064377267,2026-11-23
2026,48,60625.50277939043,2026-11-30
2026,49,62345.107869973945,2026-12-07
2026,50,60185.28372526752,2026-12-14
2026,51,59955.03236371973,2026-12-21
2026,52,59520.21942085637,2026-12-28
2026,53,34123.87464511175,2027-01-04
2027,1,62359.64162031789,2027-01-04
2027,2,62753.997156125886,2027-01-11
2027,3,63168.78473084334,2027-01-18
2027,4,58819.62384441088,2027-01-25
2027,5,60014.80163209412,2027-02-01
2027,6,63127.467562608785,2027-02-08
2027,7,62115.3792756538,2027-02-15
2027,8,62002.83640168642,2027-02-22
2027,9,60729.73772165608,2027-03-01
2027,10,60931.380339782525,2027-03-08
2027,11,60087.717752811885,2027-03-15
2027,12,59197.07285752137,2027-03-22
2027,13,59289.31874137408,2027-03-29
2027,14,58536.55565802064,2027-04-05
2027,15,59291.54691845395,2027-04-12
2027,16,60081.40058380235,2027-04-19
2027,17,59633.41697868372,2027-04-26
2027,18,60037.2257449711,2027-05-03
2027,19,62024.82173996986,2027-05-10
2027,20,62589.777309701356,2027-05-17
2027,21,64498.54176583836,2027-05-24
2027,22,67467.23330485461,2027-05-31
2027,23,63538.907954839335,2027-06-07
2027,24,65665.69700296862,2027-06-14
2027,25,66062.43469464887,2027-06-21
2027,26,67615.17999827927,2027-06-28
2027,27,69325.93110898667,2027-07-05
2027,28,68511.16430500997,2027-07-12
2027,29,65085.91829454113,2027-07-19
2027,30,65114.17469794318,2027-07-26
2027,31,67303.25621224199,2027-08-02
2027,32,65123.43525396788,2027-08-09
2027,33,62445.19704602421,2027-08-16
2027,34,62182.98479417851,2027-08-23
2027,35,61970.76258216353,2027-08-30
2027,36,60338.4798760299,2027-09-06
2027,37,60010.63206005153,2027-09-13
2027,38,61058.85455720701,2027-09-20
2027,39,59301.37784917504,2027-09-27
2027,40,60336.090871835404,2027-10-04
2027,41,60322.80776521856,2027-10-11
2027,42,59792.229136389884,2027-10-18
2027,43,58999.966516890185,2027-10-25
2027,44,59864.45399562536,2027-11-01
2027,45,59497.90847702738,2027-11-08
2027,46,61691.573025860715,2027-11-15
2027,47,60273.2661915985,2027-11-22
2027,48,60124.35214608208,2027-11-29
2027,49,61597.960703701785,2027-12-06
2027,50,63283.3298581278,2027-12-13
2027,51,58313.77166003428,2027-12-20
2027,52,40078.83074549795,2027-12-27
2027,53,25904.07839246445,2028-01-03
2028,1,64168.75638588173,2028-01-03
2028,2,59962.74459391709,2028-01-10
2028,3,64525.1573303068,2028-01-17
2028,4,64321.888597289784,2028-01-24
2028,5,59813.862510315455,2028-01-31
2028,6,65708.93664791962,2028-02-07
2028,7,62162.18385514284,2028-02-14
2028,8,60194.75104564955,2028-02-21
2028,9,60366.63346859867,2028-02-28
2028,10,59356.46544775689,2028-03-06
2028,11,62984.48903350954,2028-03-13
2028,12,59085.711740593775,2028-03-20
2028,13,61088.07873114507,2028-03-27
2028,14,60772.17556593317,2028-04-03
2028,15,60190.19100569106,2028-04-10
2028,16,58727.24070613964,2028-04-17
2028,17,58911.84177632179,2028-04-24
2028,18,59373.144546130665,2028-05-01
2028,19,60773.21832365024,2028-05-08
2028,20,61484.24073962288,2028-05-15
2028,21,62635.657999487885,2028-05-22
2028,22,63191.39196220885,2028-05-29
2028,23,65060.0924347182,2028-06-05
