Year,Week,Predicted_Demand,Date
2023,1,57321.707,2023-01-02
2023,2,65067.164,2023-01-09
2023,3,62906.945,2023-01-16
2023,4,64983.91,2023-01-23
2023,5,63775.297,2023-01-30
2023,6,65884.336,2023-02-06
2023,7,62418.65,2023-02-13
2023,8,63908.855,2023-02-20
2023,9,60772.684,2023-02-27
2023,10,61421.297,2023-03-06
2023,11,60217.727,2023-03-13
2023,12,62097.957,2023-03-20
2023,13,60194.75,2023-03-27
2023,14,56926.492,2023-04-03
2023,15,57219.953,2023-04-10
2023,16,58235.1,2023-04-17
2023,17,57432.164,2023-04-24
2023,18,58648.58,2023-05-01
2023,19,60294.633,2023-05-08
2023,20,62383.01,2023-05-15
2023,21,63292.36,2023-05-22
2023,22,63324.91,2023-05-29
2023,23,65941.13,2023-06-05
2023,24,66024.695,2023-06-12
2023,25,65556.664,2023-06-19
2023,26,69576.766,2023-06-26
2023,27,68443.24,2023-07-03
2023,28,65656.61,2023-07-10
2023,29,68167.89,2023-07-17
2023,30,65477.137,2023-07-24
2023,31,65723.97,2023-07-31
2023,32,65781.734,2023-08-07
2023,33,62734.457,2023-08-14
2023,34,62997.254,2023-08-21
2023,35,61573.0,2023-08-28
2023,36,61144.688,2023-09-04
2023,37,59412.797,2023-09-11
2023,38,58127.508,2023-09-18
2023,39,57088.21,2023-09-25
2023,40,56222.652,2023-10-02
2023,41,56873.848,2023-10-09
2023,42,56601.344,2023-10-16
2023,43,57273.914,2023-10-23
2023,44,58097.363,2023-10-30
2023,45,59379.28,2023-11-06
2023,46,59483.746,2023-11-13
2023,47,59026.945,2023-11-20
2023,48,58960.305,2023-11-27
2023,49,60952.05,2023-12-04
2023,50,60025.543,2023-12-11
2023,51,56649.125,2023-12-18
2023,52,60642.773,2023-12-25
2024,1,71451.72,2024-01-01
2024,2,59775.48,2024-01-08
2024,3,62930.383,2024-01-15
2024,4,66245.125,2024-01-22
2024,5,70049.86,2024-01-29
2024,6,63889.92,2024-02-05
2024,7,61376.348,2024-02-12
2024,8,63350.156,2024-02-19
2024,9,61592.508,2024-02-26
2024,10,60248.69,2024-03-04
2024,11,60973.54,2024-03-11
2024,12,60180.707,2024-03-18
2024,13,57596.71,2024-03-25
2024,14,55932.742,2024-04-01
2024,15,56202.46,2024-04-08
2024,16,56992.07,2024-04-15
2024,17,57357.453,2024-04-22
2024,18,59571.285,2024-04-29
2024,19,62823.668,2024-05-06
2024,20,63434.223,2024-05-13
2024,21,62283.195,2024-05-20
2024,22,63921.6,2024-05-27
2024,23,66611.234,2024-06-03
2024,24,65851.47,2024-06-10
2024,25,65903.76,2024-06-17
2024,26,66415.17,2024-06-24
2024,27,65141.78,2024-07-01
2024,28,67769.2,2024-07-08
2024,29,68269.73,2024-07-15
2024,30,67738.055,2024-07-22
2024,31,62933.18,2024-07-29
2024,32,65024.22,2024-08-05
2024,33,64685.438,2024-08-12
2024,34,62569.383,2024-08-19
2024,35,61641.594,2024-08-26
2024,36,60561.617,2024-09-02
2024,37,59612.31,2024-09-09
2024,38,57088.37,2024-09-16
2024,39,59076.242,2024-09-23
2024,40,58764.95,2024-09-30
2024,41,57218.254,2024-10-07
2024,42,56965.63,2024-10-14
2024,43,58286.875,2024-10-21
2024,44,57270.25,2024-10-28
2024,45,60272.37,2024-11-04
2024,46,59199.426,2024-11-11
2024,47,58937.812,2024-11-18
2024,48,59572.277,2024-11-25
2024,49,57376.383,2024-12-02
2024,50,57516.39,2024-12-09
2024,51,57604.21,2024-12-16
2024,52,52518.086,2024-12-23
2025,1,63966.85,2025-01-06
2025,2,63237.32,2025-01-13
2025,3,62744.69,2025-01-20
2025,4,65165.88,2025-01-27
2025,5,60992.883,2025-02-03
2025,6,63673.094,2025-02-10
2025,7,60746.336,2025-02-17
2025,8,63027.703,2025-02-24
2025,9,62768.86,2025-03-03
2025,10,62003.742,2025-03-10
2025,11,61892.117,2025-03-17
2025,12,60878.258,2025-03-24
2025,13,60090.184,2025-03-31
2025,14,57984.67,2025-04-07
2025,15,58101.266,2025-04-14
2025,16,58624.227,2025-04-21
2025,17,57243.176,2025-04-28
2025,18,58459.92,2025-05-05
2025,19,60029.47,2025-05-12
2025,20,61018.285,2025-05-19
2025,21,63220.41,2025-05-26
2025,22,62659.3,2025-06-02
2025,23,64500.17,2025-06-09
2025,24,64141.1,2025-06-16
2025,25,67656.85,2025-06-23
2025,26,66219.36,2025-06-30
2025,27,66302.27,2025-07-07
2025,28,66867.375,2025-07-14
2025,29,63755.96,2025-07-21
2025,30,66936.8,2025-07-28
2025,31,64549.133,2025-08-04
2025,32,63918.69,2025-08-11
2025,33,62344.76,2025-08-18
2025,34,63508.582,2025-08-25
2025,35,60836.543,2025-09-01
2025,36,59575.227,2025-09-08
2025,37,58484.367,2025-09-15
2025,38,58057.38,2025-09-22
2025,39,57852.76,2025-09-29
2025,40,56935.7,2025-10-06
2025,41,57274.414,2025-10-13
2025,42,57216.508,2025-10-20
2025,43,58538.85,2025-10-27
2025,44,57727.65,2025-11-03
2025,45,58671.83,2025-11-10
2025,46,57748.14,2025-11-17
2025,47,58219.047,2025-11-24
2025,48,57389.992,2025-12-01
2025,49,58991.805,2025-12-08
2025,50,61010.13,2025-12-15
2025,51,64153.516,2025-12-22
2025,52,55701.152,2025-12-29
2026,1,31575.14,2026-01-05
2026,2,58128.07,2026-01-12
2026,3,63847.56,2026-01-19
2026,4,61115.52,2026-01-26
2026,5,63536.9,2026-02-02
2026,6,62269.49,2026-02-09
2026,7,63856.64,2026-02-16
2026,8,61174.836,2026-02-23
2026,9,61657.805,2026-03-02
2026,10,61849.92,2026-03-09
2026,11,61784.504,2026-03-16
2026,12,61318.83,2026-03-23
2026,13,60506.8,2026-03-30
2026,14,59960.42,2026-04-06
2026,15,58115.188,2026-04-13
2026,16,57186.18,2026-04-20
2026,17,56743.297,2026-04-27
2026,18,58867.78,2026-05-04
2026,19,60039.758,2026-05-11
2026,20,60332.586,2026-05-18
2026,21,59921.336,2026-05-25
2026,22,60723.35,2026-06-01
2026,23,63446.22,2026-06-08
2026,24,63866.285,2026-06-15
2026,25,64287.96,2026-06-22
2026,26,65451.37,2026-06-29
2026,27,66838.336,2026-07-06
2026,28,67058.39,2026-07-13
2026,29,67128.27,2026-07-20
2026,30,66090.22,2026-07-27
2026,31,63616.805,2026-08-03
2026,32,64759.473,2026-08-10
2026,33,66557.0,2026-08-17
2026,34,64859.29,2026-08-24
2026,35,62818.25,2026-08-31
2026,36,62621.027,2026-09-07
2026,37,59270.355,2026-09-14
2026,38,59269.918,2026-09-21
2026,39,58179.42,2026-09-28
2026,40,57548.348,2026-10-05
2026,41,57351.227,2026-10-12
2026,42,58000.01,2026-10-19
2026,43,58878.81,2026-10-26
2026,44,58654.15,2026-11-02
2026,45,57599.934,2026-11-09
2026,46,59032.348,2026-11-16
2026,47,61719.383,2026-11-23
2026,48,60290.395,2026-11-30
2026,49,62607.91,2026-12-07
2026,50,59953.41,2026-12-14
2026,51,60023.324,2026-12-21
2026,52,57174.457,2026-12-28
2026,53,32290.607,2027-01-04
2027,1,60693.938,2027-01-04
2027,2,63065.242,2027-01-11
2027,3,64595.13,2027-01-18
2027,4,59067.34,2027-01-25
2027,5,61285.633,2027-02-01
2027,6,64281.246,2027-02-08
2027,7,63877.39,2027-02-15
2027,8,63183.29,2027-02-22
2027,9,61583.5,2027-03-01
2027,10,61465.555,2027-03-08
2027,11,60405.535,2027-03-15
2027,12,59360.188,2027-03-22
2027,13,58996.64,2027-03-29
2027,14,57611.984,2027-04-05
2027,15,58761.67,2027-04-12
2027,16,58873.633,2027-04-19
2027,17,58548.8,2027-04-26
2027,18,59679.81,2027-05-03
2027,19,62022.03,2027-05-10
2027,20,62878.965,2027-05-17
2027,21,63987.754,2027-05-24
2027,22,67285.484,2027-05-31
2027,23,64226.844,2027-06-07
2027,24,66297.36,2027-06-14
2027,25,66482.36,2027-06-21
2027,26,68924.88,2027-06-28
2027,27,69389.86,2027-07-05
2027,28,70094.17,2027-07-12
2027,29,65485.62,2027-07-19
2027,30,66318.125,2027-07-26
2027,31,68031.99,2027-08-02
2027,32,65572.73,2027-08-09
2027,33,63377.695,2027-08-16
2027,34,62938.83,2027-08-23
2027,35,62698.582,2027-08-30
2027,36,60213.8,2027-09-06
2027,37,59254.785,2027-09-13
2027,38,60383.56,2027-09-20
2027,39,57959.152,2027-09-27
2027,40,58133.06,2027-10-04
2027,41,59437.285,2027-10-11
2027,42,59134.633,2027-10-18
2027,43,57572.945,2027-10-25
2027,44,58044.816,2027-11-01
2027,45,57869.258,2027-11-08
2027,46,61284.688,2027-11-15
2027,47,60399.93,2027-11-22
2027,48,60696.15,2027-11-29
2027,49,62444.055,2027-12-06
2027,50,63574.53,2027-12-13
2027,51,56989.086,2027-12-20
2027,52,38756.16,2027-12-27
2027,53,25001.139,2028-01-03
2028,1,61050.41,2028-01-03
2028,2,60291.99,2028-01-10
2028,3,65637.71,2028-01-17
2028,4,65810.734,2028-01-24
2028,5,60225.715,2028-01-31
2028,6,66566.6,2028-02-07
2028,7,63037.445,2028-02-14
2028,8,61867.137,2028-02-21
2028,9,61443.97,2028-02-28
2028,10,60044.523,2028-03-06
2028,11,63099.336,2028-03-13
2028,12,59135.7,2028-03-20
2028,13,61016.992,2028-03-27
2028,14,60805.242,2028-04-03
2028,15,59264.17,2028-04-10
2028,16,57893.105,2028-04-17
2028,17,58127.86,2028-04-24
2028,18,59031.89,2028-05-01
2028,19,61245.96,2028-05-08
2028,20,61176.137,2028-05-15
2028,21,62280.21,2028-05-22
2028,22,65025.04,2028-05-29
2028,23,65027.727,2028-06-05
2028,24,65794.22,2028-06-12
2028,25,67453.73,2028-06-19
2028,26,67299.51,2028-06-26
2028,27,65422.17,2028-07-03
2028,28,67155.984,2028-07-10
2028,29,66338.66,2028-07-17
2028,30,63848.438,2028-07-24
2028,31,64235.21,2028-07-31
2028,32,62982.633,2028-08-07
2028,33,63870.89,2028-08-14
2028,34,64833.305,2028-08-21
2028,35,64096.273,2028-08-28
2028,36,59793.812,2028-09-04
2028,37,58608.023,2028-09-11
2028,38,59353.89,2028-09-18
2028,39,57943.72,2028-09-25
2028,40,58195.45,2028-10-02
2028,41,57559.13,2028-10-09
2028,42,58234.82,2028-10-16
2028,43,57596.33,2028-10-23
2028,44,61876.008,2028-10-30
2028,45,57391.684,2028-11-06
2028,46,57897.61,2028-11-13
2028,47,57218.008,2028-11-20
2028,48,58924.91,2028-11-27
2028,49,60417.527,2028-12-04
2028,50,61870.598,2028-12-11
2028,51,57657.324,2028-12-18
2028,52,76079.01,2028-12-25
2029,1,66026.91,2029-01-01
2029,2,64123.504,2029-01-08
2029,3,63421.16,2029-01-15
2029,4,63813.53,2029-01-22
2029,5,63507.258,2029-01-29
2029,6,65851.49,2029-02-05
2029,7,62044.395,2029-02-12
2029,8,63896.836,2029-02-19
2029,9,60608.496,2029-02-26
2029,10,60667.582,2029-03-05
2029,11,60863.184,2029-03-12
2029,12,61599.37,2029-03-19
2029,13,59318.02,2029-03-26
2029,14,57887.375,2029-04-02
2029,15,57441.71,2029-04-09
2029,16,58579.523,2029-04-16
2029,17,57399.227,2029-04-23
2029,18,59271.508,2029-04-30
2029,19,61000.16,2029-05-07
2029,20,63172.44,2029-05-14
2029,21,63664.098,2029-05-21
2029,22,63700.016,2029-05-28
2029,23,66856.82,2029-06-04
2029,24,66182.56,2029-06-11
2029,25,65789.52,2029-06-18
2029,26,70795.06,2029-06-25
2029,27,68478.2,2029-07-02
2029,28,66534.07,2029-07-09
2029,29,68252.09,2029-07-16
2029,30,65934.6,2029-07-23
2029,31,66752.86,2029-07-30
2029,32,65536.99,2029-08-06
2029,33,63603.227,2029-08-13
2029,34,63587.15,2029-08-20
2029,35,61765.16,2029-08-27
2029,36,61699.637,2029-09-03
2029,37,59579.97,2029-09-10
2029,38,58896.266,2029-09-17
2029,39,58250.78,2029-09-24
2029,40,56756.03,2029-10-01
2029,41,57322.29,2029-10-08
2029,42,57554.83,2029-10-15
2029,43,57670.88,2029-10-22
2029,44,58250.62,2029-10-29
2029,45,59926.44,2029-11-05
2029,46,58963.06,2029-11-12
2029,47,59912.33,2029-11-19
2029,48,59015.137,2029-11-26
2029,49,61642.5,2029-12-03
2029,50,59952.613,2029-12-10
2029,51,56864.008,2029-12-17
2029,52,54151.03,2029-12-24
2030,1,64076.43,2030-01-07
2030,2,61181.043,2030-01-14
2030,3,63361.82,2030-01-21
2030,4,65658.79,2030-01-28
2030,5,73372.445,2030-02-04
2030,6,61864.938,2030-02-11
2030,7,62912.91,2030-02-18
2030,8,62819.773,2030-02-25
2030,9,61582.34,2030-03-04
2030,10,60984.79,2030-03-11
2030,11,60976.38,2030-03-18
2030,12,59561.8,2030-03-25
2030,13,57398.832,2030-04-01
2030,14,56311.16,2030-04-08
2030,15,56166.902,2030-04-15
2030,16,56184.945,2030-04-22
2030,17,56518.203,2030-04-29
2030,18,58746.035,2030-05-06
2030,19,61050.74,2030-05-13
2030,20,61438.5,2030-05-20
2030,21,61485.324,2030-05-27
2030,22,62124.438,2030-06-03
2030,23,65011.145,2030-06-10
2030,24,63753.344,2030-06-17
2030,25,64319.156,2030-06-24
2030,26,64246.82,2030-07-01
2030,27,63821.707,2030-07-08
2030,28,65935.13,2030-07-15
2030,29,66566.29,2030-07-22
2030,30,65331.37,2030-07-29
2030,31,61226.93,2030-08-05
2030,32,63408.492,2030-08-12
2030,33,62528.81,2030-08-19
2030,34,60968.07,2030-08-26
2030,35,59829.43,2030-09-02
2030,36,58600.414,2030-09-09
2030,37,56453.703,2030-09-16
2030,38,55906.273,2030-09-23
2030,39,57372.56,2030-09-30
2030,40,56571.78,2030-10-07
2030,41,55464.754,2030-10-14
2030,42,55602.008,2030-10-21
2030,43,56633.26,2030-10-28
2030,44,55288.844,2030-11-04
2030,45,58440.11,2030-11-11
2030,46,58050.93,2030-11-18
2030,47,57266.74,2030-11-25
2030,48,57868.727,2030-12-02
2030,49,56532.445,2030-12-09
2030,50,56337.188,2030-12-16
2030,51,57248.99,2030-12-23
2030,52,50939.516,2030-12-30
2031,1,63679.08,2031-01-06
2031,2,60766.895,2031-01-13
2031,3,61403.758,2031-01-20
2031,4,62181.79,2031-01-27
2031,5,58109.39,2031-02-03
2031,6,61185.613,2031-02-10
2031,7,58238.15,2031-02-17
2031,8,61534.516,2031-02-24
2031,9,59639.723,2031-03-03
2031,10,60085.87,2031-03-10
2031,11,58785.996,2031-03-17
2031,12,58936.457,2031-03-24
2031,13,57536.367,2031-03-31
2031,14,55775.9,2031-04-07
2031,15,56063.56,2031-04-14
2031,16,56124.73,2031-04-21
2031,17,54645.742,2031-04-28
2031,18,56807.535,2031-05-05
2031,19,57896.61,2031-05-12
2031,20,59218.82,2031-05-19
2031,21,60729.996,2031-05-26
2031,22,60504.67,2031-06-02
2031,23,61400.547,2031-06-09
2031,24,62093.59,2031-06-16
2031,25,64840.273,2031-06-23
2031,26,63217.25,2031-06-30
2031,27,63325.4,2031-07-07
2031,28,63388.277,2031-07-14
2031,29,61821.79,2031-07-21
2031,30,63314.555,2031-07-28
2031,31,61449.2,2031-08-04
2031,32,61001.6,2031-08-11
2031,33,59564.652,2031-08-18
2031,34,60664.875,2031-08-25
2031,35,58384.504,2031-09-01
2031,36,57277.508,2031-09-08
2031,37,56694.25,2031-09-15
2031,38,55896.773,2031-09-22
2031,39,55807.633,2031-09-29
2031,40,54659.88,2031-10-06
2031,41,55737.645,2031-10-13
2031,42,55979.35,2031-10-20
2031,43,55868.574,2031-10-27
2031,44,55582.992,2031-11-03
2031,45,56916.375,2031-11-10
2031,46,55713.82,2031-11-17
2031,47,56329.38,2031-11-24
2031,48,56223.0,2031-12-01
2031,49,57687.594,2031-12-08
2031,50,58981.223,2031-12-15
2031,51,63562.52,2031-12-22
2031,52,51933.22,2031-12-29
2032,1,29792.45,2032-01-05
2032,2,57578.56,2032-01-12
2032,3,62600.42,2032-01-19
2032,4,58498.926,2032-01-26
2032,5,62044.695,2032-02-02
2032,6,59273.72,2032-02-09
2032,7,60839.758,2032-02-16
2032,8,58947.938,2032-02-23
2032,9,59111.12,2032-03-01
2032,10,60041.305,2032-03-08
2032,11,59049.195,2032-03-15
2032,12,59404.035,2032-03-22
2032,13,58443.68,2032-03-29
2032,14,57789.605,2032-04-05
2032,15,56803.492,2032-04-12
2032,16,55324.125,2032-04-19
2032,17,55450.18,2032-04-26
2032,18,57245.734,2032-05-03
2032,19,58295.867,2032-05-10
2032,20,58715.43,2032-05-17
2032,21,58371.434,2032-05-24
2032,22,59553.934,2032-05-31
2032,23,61851.656,2032-06-07
2032,24,61932.234,2032-06-14
2032,25,62448.215,2032-06-21
2032,26,62930.09,2032-06-28
2032,27,64062.47,2032-07-05
2032,28,64711.18,2032-07-12
2032,29,64594.96,2032-07-19
2032,30,62589.375,2032-07-26
2032,31,60764.21,2032-08-02
2032,32,61619.086,2032-08-09
2032,33,63359.926,2032-08-16
2032,34,61324.22,2032-08-23
2032,35,59815.86,2032-08-30
2032,36,59803.43,2032-09-06
2032,37,56675.625,2032-09-13
2032,38,56750.617,2032-09-20
2032,39,55996.727,2032-09-27
2032,40,55380.277,2032-10-04
2032,41,55357.188,2032-10-11
2032,42,55868.91,2032-10-18
2032,43,57427.07,2032-10-25
2032,44,56163.215,2032-11-01
2032,45,55797.18,2032-11-08
2032,46,56996.707,2032-11-15
2032,47,60741.945,2032-11-22
2032,48,58262.453,2032-11-29
2032,49,60454.105,2032-12-06
2032,50,57875.18,2032-12-13
2032,51,58477.438,2032-12-20
2032,52,53787.074,2032-12-27
2032,53,38582.21,2033-01-03
2033,1,57417.715,2033-01-03
2033,2,58905.29,2033-01-10
2033,3,60355.484,2033-01-17
2033,4,54254.76,2033-01-24
2033,5,57093.22,2033-01-31
2033,6,59939.566,2033-02-07
2033,7,59011.516,2033-02-14
2033,8,57577.03,2033-02-21
2033,9,57463.863,2033-02-28
2033,10,55491.52,2033-03-07
2033,11,55922.33,2033-03-14
2033,12,53758.316,2033-03-21
2033,13,53824.664,2033-03-28
2033,14,52658.676,2033-04-04
2033,15,54247.273,2033-04-11
2033,16,53198.223,2033-04-18
2033,17,53514.67,2033-04-25
2033,18,54220.656,2033-05-02
2033,19,57000.45,2033-05-09
2033,20,57783.984,2033-05-16
2033,21,58381.21,2033-05-23
2033,22,60998.363,2033-05-30
2033,23,59275.254,2033-06-06
2033,24,61274.375,2033-06-13
2033,25,61096.785,2033-06-20
2033,26,63523.312,2033-06-27
2033,27,63684.97,2033-07-04
2033,28,64326.96,2033-07-11
2033,29,60401.203,2033-07-18
2033,30,60289.805,2033-07-25
2033,31,62297.645,2033-08-01
2033,32,59934.36,2033-08-08
2033,33,58122.406,2033-08-15
2033,34,57577.406,2033-08-22
2033,35,57376.79,2033-08-29
2033,36,54598.086,2033-09-05
2033,37,53882.5,2033-09-12
2033,38,55450.902,2033-09-19
2033,39,53213.793,2033-09-26
2033,40,53424.574,2033-10-03
2033,41,54619.887,2033-10-10
2033,42,53950.555,2033-10-17
2033,43,52941.05,2033-10-24
2033,44,52786.18,2033-10-31
2033,45,53011.617,2033-11-07
2033,46,57295.01,2033-11-14
2033,47,56465.59,2033-11-21
2033,48,55914.746,2033-11-28
2033,49,57985.125,2033-12-05
2033,50,59574.37,2033-12-12
2033,51,50457.285,2033-12-19
2033,52,43655.28,2033-12-26
2033,53,15433.634,2034-01-02
2034,1,58216.97,2034-01-02
2034,2,55407.145,2034-01-09
2034,3,62455.71,2034-01-16
2034,4,60248.277,2034-01-23
2034,5,56083.418,2034-01-30
2034,6,61927.176,2034-02-06
2034,7,57469.85,2034-02-13
2034,8,57184.883,2034-02-20
2034,9,56012.816,2034-02-27
2034,10,55793.387,2034-03-06
2034,11,57378.08,2034-03-13
2034,12,54388.395,2034-03-20
2034,13,55967.445,2034-03-27
2034,14,56147.09,2034-04-03
2034,15,53970.883,2034-04-10
2034,16,52848.953,2034-04-17
2034,17,53042.348,2034-04-24
2034,18,53919.49,2034-05-01
2034,19,56263.414,2034-05-08
2034,20,55802.32,2034-05-15
2034,21,57326.043,2034-05-22
2034,22,59905.867,2034-05-29
2034,23,59583.445,2034-06-05
2034,24,60945.438,2034-06-12
2034,25,62440.367,2034-06-19
2034,26,61323.68,2034-06-26
2034,27,60823.258,2034-07-03
2034,28,61727.383,2034-07-10
2034,29,60784.383,2034-07-17
2034,30,58679.105,2034-07-24
2034,31,58933.22,2034-07-31
2034,32,57250.12,2034-08-07
2034,33,59364.484,2034-08-14
2034,34,59968.87,2034-08-21
2034,35,58755.348,2034-08-28
2034,36,54219.797,2034-09-04
2034,37,53695.1,2034-09-11
