Year,Week,Predicted_Demand,Date
2023,1,65011.043,2023-01-02
2023,2,67834.82,2023-01-09
2023,3,65223.02,2023-01-16
2023,4,65733.28,2023-01-23
2023,5,65498.508,2023-01-30
2023,6,65888.125,2023-02-06
2023,7,62688.805,2023-02-13
2023,8,64219.797,2023-02-20
2023,9,62475.527,2023-02-27
2023,10,62730.402,2023-03-06
2023,11,61329.125,2023-03-13
2023,12,63063.64,2023-03-20
2023,13,61994.316,2023-03-27
2023,14,60747.668,2023-04-03
2023,15,60664.625,2023-04-10
2023,16,60730.875,2023-04-17
2023,17,62374.87,2023-04-24
2023,18,62206.06,2023-05-01
2023,19,63015.92,2023-05-08
2023,20,64719.08,2023-05-15
2023,21,65472.555,2023-05-22
2023,22,64747.508,2023-05-29
2023,23,68473.266,2023-06-05
2023,24,68760.22,2023-06-12
2023,25,66885.19,2023-06-19
2023,26,72480.92,2023-06-26
2023,27,69028.42,2023-07-03
2023,28,67297.53,2023-07-10
2023,29,69551.85,2023-07-17
2023,30,66978.93,2023-07-24
2023,31,67210.945,2023-07-31
2023,32,67622.02,2023-08-07
2023,33,64433.938,2023-08-14
2023,34,66400.37,2023-08-21
2023,35,63728.92,2023-08-28
2023,36,64097.96,2023-09-04
2023,37,62168.95,2023-09-11
2023,38,61049.64,2023-09-18
2023,39,61105.656,2023-09-25
2023,40,61068.984,2023-10-02
2023,41,60441.07,2023-10-09
2023,42,61184.066,2023-10-16
2023,43,61227.6,2023-10-23
2023,44,60909.633,2023-10-30
2023,45,61065.24,2023-11-06
2023,46,61630.586,2023-11-13
2023,47,60751.33,2023-11-20
2023,48,60490.02,2023-11-27
2023,49,61963.707,2023-12-04
2023,50,61009.76,2023-12-11
2023,51,59624.633,2023-12-18
2023,52,71533.34,2023-12-25
2024,1,81740.94,2024-01-01
2024,2,64649.035,2024-01-08
2024,3,64862.125,2024-01-15
2024,4,66308.52,2024-01-22
2024,5,70129.305,2024-01-29
2024,6,64786.418,2024-02-05
2024,7,63436.67,2024-02-12
2024,8,63487.22,2024-02-19
2024,9,63215.895,2024-02-26
2024,10,61822.86,2024-03-04
2024,11,62420.938,2024-03-11
2024,12,61482.496,2024-03-18
2024,13,60897.527,2024-03-25
2024,14,59794.234,2024-04-01
2024,15,60933.58,2024-04-08
2024,16,60550.914,2024-04-15
2024,17,61234.645,2024-04-22
2024,18,63207.875,2024-04-29
2024,19,66949.93,2024-05-06
2024,20,65589.734,2024-05-13
2024,21,63632.383,2024-05-20
2024,22,64620.47,2024-05-27
2024,23,68770.44,2024-06-03
2024,24,66591.2,2024-06-10
2024,25,67055.83,2024-06-17
2024,26,66626.76,2024-06-24
2024,27,66502.516,2024-07-01
2024,28,69651.23,2024-07-08
2024,29,68571.586,2024-07-15
2024,30,68246.734,2024-07-22
2024,31,63170.355,2024-07-29
2024,32,66582.305,2024-08-05
2024,33,66209.03,2024-08-12
2024,34,63160.81,2024-08-19
2024,35,61714.684,2024-08-26
2024,36,61624.832,2024-09-02
2024,37,61324.473,2024-09-09
2024,38,57829.43,2024-09-16
2024,39,61908.17,2024-09-23
2024,40,63128.07,2024-09-30
2024,41,60314.84,2024-10-07
2024,42,58230.266,2024-10-14
2024,43,60660.1,2024-10-21
2024,44,58825.383,2024-10-28
2024,45,60320.316,2024-11-04
2024,46,60367.4,2024-11-11
2024,47,60990.23,2024-11-18
2024,48,59042.586,2024-11-25
2024,49,59551.58,2024-12-02
2024,50,58577.594,2024-12-09
2024,51,58713.46,2024-12-16
2024,52,58760.71,2024-12-23
2025,1,71449.08,2025-01-06
2025,2,66109.79,2025-01-13
2025,3,63743.258,2025-01-20
2025,4,64271.137,2025-01-27
2025,5,62667.434,2025-02-03
2025,6,62742.316,2025-02-10
2025,7,60068.03,2025-02-17
2025,8,61612.293,2025-02-24
2025,9,62082.07,2025-03-03
2025,10,61062.582,2025-03-10
2025,11,61291.387,2025-03-17
2025,12,60725.547,2025-03-24
2025,13,60596.785,2025-03-31
2025,14,59629.184,2025-04-07
2025,15,59018.215,2025-04-14
2025,16,60517.49,2025-04-21
