Year,Week,Predicted_Demand,Date
2023,1,65637.49313905014,2023-01-02
2023,2,68922.49349187152,2023-01-09
2023,3,65874.95137798006,2023-01-16
2023,4,67039.06528597458,2023-01-23
2023,5,67927.61112784642,2023-01-30
2023,6,68257.70825033302,2023-02-06
2023,7,65098.72498414888,2023-02-13
2023,8,65731.7998382239,2023-02-20
2023,9,64045.37595624716,2023-02-27
2023,10,64768.02623085237,2023-03-06
2023,11,63045.718670436145,2023-03-13
2023,12,65023.037970309306,2023-03-20
2023,13,63523.175310655584,2023-03-27
2023,14,62118.7710131079,2023-04-03
2023,15,62052.44586084846,2023-04-10
2023,16,62470.559816202665,2023-04-17
2023,17,63810.911269006836,2023-04-24
2023,18,63781.903352461355,2023-05-01
2023,19,65031.36547486585,2023-05-08
2023,20,66933.47892400462,2023-05-15
2023,21,67600.60299343512,2023-05-22
2023,22,66811.35030710351,2023-05-29
2023,23,70782.8439019979,2023-06-05
2023,24,71039.31537128692,2023-06-12
2023,25,68770.56299535724,2023-06-19
2023,26,74487.11338238376,2023-06-26
2023,27,71296.47431700196,2023-07-03
2023,28,69017.38641833403,2023-07-10
2023,29,71706.91636405679,2023-07-17
2023,30,69090.884427556,2023-07-24
2023,31,69141.31640974726,2023-07-31
2023,32,69736.42961431264,2023-08-07
2023,33,66169.1803074048,2023-08-14
2023,34,67688.66647318688,2023-08-21
2023,35,65324.87384590466,2023-08-28
2023,36,65305.22856396914,2023-09-04
2023,37,63456.678851868666,2023-09-11
2023,38,62656.26574583829,2023-09-18
2023,39,62457.39598096999,2023-09-25
2023,40,62620.13382850199,2023-10-02
2023,41,62147.90918734376,2023-10-09
2023,42,62453.51844394402,2023-10-16
2023,43,62361.73173484632,2023-10-23
2023,44,62366.972879430345,2023-10-30
2023,45,63050.63615286126,2023-11-06
2023,46,63583.63652357029,2023-11-13
2023,47,62243.11562441065,2023-11-20
2023,48,61866.90542536582,2023-11-27
2023,49,64136.93313297629,2023-12-04
2023,50,62716.31693449055,2023-12-11
2023,51,60506.93142137719,2023-12-18
2023,52,72691.27782934651,2023-12-25
2024,1,83155.65339453769,2024-01-01
2024,2,66228.79181602714,2024-01-08
2024,3,66689.31512210023,2024-01-15
2024,4,68813.06327668013,2024-01-22
2024,5,72484.36540504181,2024-01-29
2024,6,66652.14739951486,2024-02-05
2024,7,64683.3229544692,2024-02-12
2024,8,65879.83182511976,2024-02-19
2024,9,64939.21297330162,2024-02-26
2024,10,63658.95186137088,2024-03-04
2024,11,64302.989555655025,2024-03-11
2024,12,63943.94550063583,2024-03-18
2024,13,62187.9081726186,2024-03-25
2024,14,61403.076707205924,2024-04-01
2024,15,62293.01001968473,2024-04-08
2024,16,61860.17247703264,2024-04-15
2024,17,62777.49202076246,2024-04-22
2024,18,64724.53647196779,2024-04-29
2024,19,69037.02344423423,2024-05-06
2024,20,67669.5532364684,2024-05-13
2024,21,65409.93346520234,2024-05-20
2024,22,66537.41111347155,2024-05-27
2024,23,70789.08291063676,2024-06-03
2024,24,68792.30827494609,2024-06-10
2024,25,69045.66915268416,2024-06-17
2024,26,68752.27572592715,2024-06-24
2024,27,68107.25375475304,2024-07-01
2024,28,71631.33282842336,2024-07-08
2024,29,70995.27290344686,2024-07-15
2024,30,70518.6418286589,2024-07-22
2024,31,64991.73195466876,2024-07-29
2024,32,68559.91557034475,2024-08-05
2024,33,68060.00779249954,2024-08-12
2024,34,64995.81046646394,2024-08-19
2024,35,63472.66451721141,2024-08-26
2024,36,63081.66283502455,2024-09-02
2024,37,62986.941795061975,2024-09-09
2024,38,59453.58127777868,2024-09-16
2024,39,63591.21005628309,2024-09-23
2024,40,64534.068184420095,2024-09-30
2024,41,61417.33717612505,2024-10-07
2024,42,59935.98651860999,2024-10-14
2024,43,62118.461030137456,2024-10-21
2024,44,60347.956093040295,2024-10-28
2024,45,63002.568441765776,2024-11-04
2024,46,61746.00340953334,2024-11-11
2024,47,62323.16622307016,2024-11-18
2024,48,61169.759655322385,2024-11-25
2024,49,60579.0457325953,2024-12-02
2024,50,59422.329115265886,2024-12-09
2024,51,59504.64807320967,2024-12-16
2024,52,59856.07446154901,2024-12-23
2025,1,72432.54113230092,2025-01-06
2025,2,67266.66466449939,2025-01-13
2025,3,65008.09901249245,2025-01-20
2025,4,65887.65604973448,2025-01-27
2025,5,63447.91045344716,2025-02-03
2025,6,64448.841786905854,2025-02-10
2025,7,61555.255493721146,2025-02-17
2025,8,63396.423130476745,2025-02-24
2025,9,63379.66868469662,2025-03-03
2025,10,62263.403045583436,2025-03-10
2025,11,62766.08731436995,2025-03-17
2025,12,62653.70141514549,2025-03-24
2025,13,62495.123271967575,2025-03-31
2025,14,60883.71854818803,2025-04-07
2025,15,60415.95662218952,2025-04-14
2025,16,61750.62315901538,2025-04-21
2025,17,60901.04938465375,2025-04-28
2025,18,62058.01389747597,2025-05-05
2025,19,62995.000467870464,2025-05-12
2025,20,64157.994157354166,2025-05-19
2025,21,66688.93708619144,2025-05-26
2025,22,64289.33372452138,2025-06-02
2025,23,66125.9393652613,2025-06-09
2025,24,67192.34710644775,2025-06-16
2025,25,69941.20590989025,2025-06-23
2025,26,67359.38206358963,2025-06-30
2025,27,68527.2523513761,2025-07-07
2025,28,69371.90060952705,2025-07-14
2025,29,65032.80645051343,2025-07-21
2025,30,69363.99594921258,2025-07-28
2025,31,65834.80689798556,2025-08-04
2025,32,65279.77430911177,2025-08-11
2025,33,63494.25655215903,2025-08-18
2025,34,65614.98984387855,2025-08-25
2025,35,60933.23637592386,2025-09-01
2025,36,59648.95769936248,2025-09-08
2025,37,59838.12176341593,2025-09-15
2025,38,59323.141692566904,2025-09-22
