Year,Predicted_Demand,Date
2023,3225938.81335911,2023-01-01
2024,3235059.5547203245,2024-01-01
2025,3202386.5264473734,2025-01-01
2026,3201957.3543202374,2026-01-01
2027,3208097.6108541586,2027-01-01
2028,3224602.9138931977,2028-01-01
2029,3203599.606409788,2029-01-01
2030,3105625.247967043,2030-01-01
2031,3086451.0901481356,2031-01-01
2032,3071115.967375657,2032-01-01
2033,2931016.991704551,2033-01-01
2034,2931648.8881502817,2034-01-01
2035,2961565.612533748,2035-01-01
2036,2947652.1852504513,2036-01-01
2037,2924839.355536816,2037-01-01
2038,2925851.8750245636,2038-01-01
2039,2897316.3118440886,2039-01-01
2040,2902894.897511431,2040-01-01
2041,2911589.761282216,2041-01-01
2042,2944582.5575667094,2042-01-01
2043,2925795.3704298213,2043-01-01
2044,2920515.980060297,2044-01-01
2045,2916001.395875876,2045-01-01
2046,2887047.0777453585,2046-01-01
2047,2889093.6968548354,2047-01-01
2048,2917208.997462139,2048-01-01
2049,2945943.464624484,2049-01-01
2050,2922009.3787883716,2050-01-01
2051,2909253.1327023595,2051-01-01
2052,2923239.266855622,2052-01-01
2053,2878557.394163119,2053-01-01
2054,2887650.1577356863,2054-01-01
2055,2904197.4398797397,2055-01-01
2056,2951374.804975739,2056-01-01
2057,2916242.1180798057,2057-01-01
2058,2904922.8831673674,2058-01-01
2059,2913331.223814748,2059-01-01
2060,2880711.643606481,2060-01-01
2061,2883251.971266044,2061-01-01
2062,2898952.0115050282,2062-01-01
2063,2932753.4733350696,2063-01-01
2064,2916564.061716197,2064-01-01
2065,2886889.8174941377,2065-01-01
2066,2893737.3240640573,2066-01-01
2067,2820936.2500813566,2067-01-01
2068,2817346.6104125376,2068-01-01
2069,2835644.033234696,2069-01-01
2070,2868174.1814124063,2070-01-01
2071,8157.1967887846695,2071-01-01
