Year,Predicted_Demand,Date
2023,3198345.0,2023-01-01
2024,3196575.5,2024-01-01
2025,3183614.8,2025-01-01
2026,3191754.8,2026-01-01
2027,3228498.8,2027-01-01
2028,3219054.5,2028-01-01
2029,3214334.5,2029-01-01
2030,3133303.5,2030-01-01
2031,3065169.5,2031-01-01
2032,3085576.5,2032-01-01
2033,2966860.2,2033-01-01
2034,2955128.0,2034-01-01
2035,2947858.5,2035-01-01
2036,2933563.8,2036-01-01
2037,2903228.8,2037-01-01
2038,2904525.5,2038-01-01
2039,2921477.2,2039-01-01
2040,2917568.5,2040-01-01
2041,2910068.5,2041-01-01
2042,2896010.5,2042-01-01
2043,2881415.2,2043-01-01
2044,2900881.5,2044-01-01
2045,2918073.8,2045-01-01
2046,2914220.0,2046-01-01
2047,2912071.5,2047-01-01
2048,2915888.8,2048-01-01
2049,2879299.0,2049-01-01
2050,2899821.2,2050-01-01
2051,2922373.8,2051-01-01
2052,2924435.8,2052-01-01
2053,2918741.2,2053-01-01
2054,2918113.8,2054-01-01
2055,2891327.8,2055-01-01
2056,2905529.0,2056-01-01
2057,2920653.0,2057-01-01
2058,2916426.0,2058-01-01
2059,2907953.0,2059-01-01
2060,2917363.2,2060-01-01
2061,2892151.8,2061-01-01
2062,2900633.5,2062-01-01
2063,2929370.0,2063-01-01
2064,2933890.2,2064-01-01
2065,2884936.8,2065-01-01
2066,2885791.2,2066-01-01
2067,2820311.2,2067-01-01
2068,2854955.0,2068-01-01
2069,2841123.8,2069-01-01
2070,2824589.0,2070-01-01
2071,8588.287,2071-01-01
