Year,Predicted_Demand,Date
2023,3328544.2,2023-01-01
2024,3298776.8,2024-01-01
2025,3201695.8,2025-01-01
2026,3166475.8,2026-01-01
2027,3176014.5,2027-01-01
2028,3140720.5,2028-01-01
2029,3128690.0,2029-01-01
2030,3103075.8,2030-01-01
2031,3026513.8,2031-01-01
2032,3011651.2,2032-01-01
2033,3027732.2,2033-01-01
2034,2992842.8,2034-01-01
2035,2995987.2,2035-01-01
2036,2987535.5,2036-01-01
2037,2911256.8,2037-01-01
2038,2899944.8,2038-01-01
2039,2936018.2,2039-01-01
2040,2923310.8,2040-01-01
2041,2920907.2,2041-01-01
2042,2916964.5,2042-01-01
2043,2856189.0,2043-01-01
2044,2863436.8,2044-01-01
2045,2895658.2,2045-01-01
2046,2885853.0,2046-01-01
2047,2895853.5,2047-01-01
2048,2909322.0,2048-01-01
2049,2841830.2,2049-01-01
2050,2846237.5,2050-01-01
2051,2890321.8,2051-01-01
2052,2890597.5,2052-01-01
2053,2897568.5,2053-01-01
2054,2909918.0,2054-01-01
2055,2845739.0,2055-01-01
2056,2864554.5,2056-01-01
2057,2902918.0,2057-01-01
2058,2894433.2,2058-01-01
2059,2911006.2,2059-01-01
2060,2935306.2,2060-01-01
2061,2863410.0,2061-01-01
2062,2876670.2,2062-01-01
2063,2924392.2,2063-01-01
2064,2926213.8,2064-01-01
2065,2934840.2,2065-01-01
2066,2952198.8,2066-01-01
2067,2889233.2,2067-01-01
2068,2911455.2,2068-01-01
2069,2954652.0,2069-01-01
2070,2948040.2,2070-01-01
2071,8619.42,2071-01-01
