Year,Predicted_Demand,Date
2023,3416380.122734607,2023-01-01
2024,3389114.4759725602,2024-01-01
2025,3277079.9444724605,2025-01-01
2026,3239299.9547923226,2026-01-01
2027,3234401.007446535,2027-01-01
2028,3199124.5854004617,2028-01-01
2029,3159475.5091735977,2029-01-01
2030,3137651.9927315176,2030-01-01
2031,3055037.151587307,2031-01-01
2032,3039063.019084964,2032-01-01
2033,3042611.83209074,2033-01-01
2034,3007909.1557165,2034-01-01
2035,3000200.6081468435,2035-01-01
2036,3000289.774550773,2036-01-01
2037,2921051.7198761515,2037-01-01
2038,2911635.3192285425,2038-01-01
2039,2938276.741835366,2039-01-01
2040,2939688.1471286574,2040-01-01
2041,2938499.6455413383,2041-01-01
2042,2945752.8355876817,2042-01-01
2043,2881823.627453544,2043-01-01
2044,2888996.3419502545,2044-01-01
2045,2919839.415210193,2045-01-01
2046,2909759.8177485033,2046-01-01
2047,2917350.924406858,2047-01-01
2048,2938419.501218442,2048-01-01
2049,2868641.492540975,2049-01-01
2050,2876651.326853798,2050-01-01
2051,2926575.4511300623,2051-01-01
2052,2918225.217738072,2052-01-01
2053,2918701.8762432095,2053-01-01
2054,2937664.7202991983,2054-01-01
2055,2872868.757847739,2055-01-01
2056,2899257.5810246523,2056-01-01
2057,2950624.7821424333,2057-01-01
2058,2925857.1860163603,2058-01-01
2059,2934955.3637087657,2059-01-01
2060,2965224.064549143,2060-01-01
2061,2894136.046828326,2061-01-01
2062,2917240.68281696,2062-01-01
2063,2985553.7472541044,2063-01-01
2064,2964425.775180153,2064-01-01
2065,2966357.476837128,2065-01-01
2066,2987662.568090779,2066-01-01
2067,2926768.5083205323,2067-01-01
2068,2962029.10031575,2068-01-01
2069,3031782.9696531733,2069-01-01
2070,2995975.146605206,2070-01-01
2071,9028.607653667119,2071-01-01
