Date,Population
2023-01-01,8323889.0
2023-02-01,8334723.416666667
2023-03-01,8345557.833333333
2023-04-01,8356392.25
2023-05-01,8367226.666666667
2023-06-01,8378061.083333333
2023-07-01,8388895.5
2023-08-01,8399729.916666666
2023-09-01,8410564.333333334
2023-10-01,8421398.75
2023-11-01,8432233.166666666
2023-12-01,8443067.583333334
2024-01-01,8453902.0
2024-02-01,8464438.583333334
2024-03-01,8474975.166666666
2024-04-01,8485511.75
2024-05-01,8496048.333333334
2024-06-01,8506584.916666666
2024-07-01,8517121.5
2024-08-01,8527658.083333334
2024-09-01,8538194.666666666
2024-10-01,8548731.25
2024-11-01,8559267.833333334
2024-12-01,8569804.416666666
2025-01-01,8580341.0
2025-02-01,8590516.416666666
2025-03-01,8600691.833333334
2025-04-01,8610867.25
2025-05-01,8621042.666666666
2025-06-01,8631218.083333334
2025-07-01,8641393.5
2025-08-01,8651568.916666666
2025-09-01,8661744.333333334
2025-10-01,8671919.75
2025-11-01,8682095.166666666
2025-12-01,8692270.583333334
2026-01-01,8702446.0
2026-02-01,8712274.916666666
2026-03-01,8722103.833333334
2026-04-01,8731932.75
2026-05-01,8741761.666666666
2026-06-01,8751590.583333334
2026-07-01,8761419.5
2026-08-01,8771248.416666666
2026-09-01,8781077.333333334
2026-10-01,8790906.25
2026-11-01,8800735.166666666
2026-12-01,8810564.083333334
2027-01-01,8820393.0
2027-02-01,8829805.916666666
2027-03-01,8839218.833333334
2027-04-01,8848631.75
2027-05-01,8858044.666666666
2027-06-01,8867457.583333334
2027-07-01,8876870.5
2027-08-01,8886283.416666666
2027-09-01,8895696.333333334
2027-10-01,8905109.25
2027-11-01,8914522.166666666
2027-12-01,8923935.083333334
2028-01-01,8933348.0
2028-02-01,8942387.166666666
2028-03-01,8951426.333333334
2028-04-01,8960465.5
2028-05-01,8969504.666666666
2028-06-01,8978543.833333334
2028-07-01,8987583.0
2028-08-01,8996622.166666666
2028-09-01,9005661.333333334
2028-10-01,9014700.5
2028-11-01,9023739.666666666
2028-12-01,9032778.833333334
2029-01-01,9041818.0
2029-02-01,9050428.166666666
2029-03-01,9059038.333333334
2029-04-01,9067648.5
2029-05-01,9076258.666666666
2029-06-01,9084868.833333334
2029-07-01,9093479.0
2029-08-01,9102089.166666666
2029-09-01,9110699.333333334
2029-10-01,9119309.5
2029-11-01,9127919.666666666
2029-12-01,9136529.833333334
2030-01-01,9145140.0
2030-02-01,9153345.25
2030-03-01,9161550.5
2030-04-01,9169755.75
2030-05-01,9177961.0
2030-06-01,9186166.25
2030-07-01,9194371.5
2030-08-01,9202576.75
2030-09-01,9210782.0
2030-10-01,9218987.25
2030-11-01,9227192.5
2030-12-01,9235397.75
2031-01-01,9243603.0
2031-02-01,9251345.416666666
2031-03-01,9259087.833333334
2031-04-01,9266830.25
2031-05-01,9274572.666666666
2031-06-01,9282315.083333334
2031-07-01,9290057.5
2031-08-01,9297799.916666666
2031-09-01,9305542.333333334
2031-10-01,9313284.75
2031-11-01,9321027.166666666
2031-12-01,9328769.583333334
2032-01-01,9336512.0
2032-02-01,9344123.583333334
2032-03-01,9351735.166666666
2032-04-01,9359346.75
2032-05-01,9366958.333333334
2032-06-01,9374569.916666666
2032-07-01,9382181.5
2032-08-01,9389793.083333334
2032-09-01,9397404.666666666
2032-10-01,9405016.25
2032-11-01,9412627.833333334
2032-12-01,9420239.416666666
2033-01-01,9427851.0
2033-02-01,9435338.5
2033-03-01,9442826.0
2033-04-01,9450313.5
2033-05-01,9457801.0
2033-06-01,9465288.5
