Date,Population
2023-01-01,8323889.0
2023-01-08,8325968.81184669
2023-01-15,8328048.62369338
2023-01-22,8330128.43554007
2023-01-29,8332208.247386759
2023-02-05,8334288.059233449
2023-02-12,8336367.87108014
2023-02-19,8338447.682926829
2023-02-26,8340527.494773519
2023-03-05,8342607.3066202095
2023-03-12,8344687.118466899
2023-03-19,8346766.930313589
2023-03-26,8348846.742160278
2023-04-02,8350926.554006969
2023-04-09,8353006.365853659
2023-04-16,8355086.177700348
2023-04-23,8357165.989547038
2023-04-30,8359245.801393728
2023-05-07,8361325.613240418
2023-05-14,8363405.425087108
2023-05-21,8365485.236933798
2023-05-28,8367565.048780488
2023-06-04,8369644.860627178
2023-06-11,8371724.672473867
2023-06-18,8373804.484320558
2023-06-25,8375884.296167247
2023-07-02,8377964.108013937
2023-07-09,8380043.9198606275
2023-07-16,8382123.731707317
2023-07-23,8384203.543554007
2023-07-30,8386283.355400696
2023-08-06,8388363.167247387
2023-08-13,8390442.979094077
2023-08-20,8392522.790940767
2023-08-27,8394602.602787456
2023-09-03,8396682.414634146
2023-09-10,8398762.226480836
2023-09-17,8400842.038327526
2023-09-24,8402921.850174217
2023-10-01,8405001.662020907
2023-10-08,8407081.473867595
2023-10-15,8409161.285714285
2023-10-22,8411241.097560976
2023-10-29,8413320.909407666
2023-11-05,8415400.721254356
2023-11-12,8417480.533101045
2023-11-19,8419560.344947735
2023-11-26,8421640.156794425
2023-12-03,8423719.968641115
2023-12-10,8425799.780487806
2023-12-17,8427879.592334494
2023-12-24,8429959.404181184
2023-12-31,8432039.216027874
2024-01-07,8434119.027874565
2024-01-14,8436198.839721255
2024-01-21,8438278.651567943
2024-01-28,8440358.463414634
2024-02-04,8442438.275261324
2024-02-11,8444518.087108014
2024-02-18,8446597.898954704
2024-02-25,8448677.710801393
2024-03-03,8450757.522648083
2024-03-10,8452837.334494773
2024-03-17,8454917.146341464
2024-03-24,8456996.958188154
2024-03-31,8459076.770034844
2024-04-07,8461156.581881532
2024-04-14,8463236.393728223
2024-04-21,8465316.205574913
2024-04-28,8467396.017421603
2024-05-05,8469475.829268293
2024-05-12,8471555.641114982
2024-05-19,8473635.452961672
2024-05-26,8475715.264808362
2024-06-02,8477795.076655053
2024-06-09,8479874.888501743
2024-06-16,8481954.700348431
2024-06-23,8484034.512195121
2024-06-30,8486114.324041812
2024-07-07,8488194.135888502
2024-07-14,8490273.947735192
2024-07-21,8492353.75958188
2024-07-28,8494433.57142857
2024-08-04,8496513.383275261
2024-08-11,8498593.195121951
2024-08-18,8500673.006968642
2024-08-25,8502752.818815332
2024-09-01,8504832.63066202
2024-09-08,8506912.44250871
2024-09-15,8508992.2543554
2024-09-22,8511072.066202091
2024-09-29,8513151.878048781
2024-10-06,8515231.68989547
2024-10-13,8517311.50174216
2024-10-20,8519391.31358885
2024-10-27,8521471.12543554
2024-11-03,8523550.93728223
2024-11-10,8525630.74912892
2024-11-17,8527710.56097561
2024-11-24,8529790.3728223
2024-12-01,8531870.18466899
2024-12-08,8533949.99651568
2024-12-15,8536029.808362368
2024-12-22,8538109.620209059
2024-12-29,8540189.432055749
2025-01-05,8542269.24390244
2025-01-12,8544349.05574913
2025-01-19,8546428.867595818
2025-01-26,8548508.679442508
2025-02-02,8550588.491289198
2025-02-09,8552668.303135889
2025-02-16,8554748.114982579
2025-02-23,8556827.92682927
2025-03-02,8558907.738675958
2025-03-09,8560987.550522648
2025-03-16,8563067.362369338
2025-03-23,8565147.174216028
2025-03-30,8567226.986062719
2025-04-06,8569306.797909407
2025-04-13,8571386.609756097
2025-04-20,8573466.421602787
2025-04-27,8575546.233449478
2025-05-04,8577626.045296168
2025-05-11,8579705.857142856
2025-05-18,8581785.668989547
2025-05-25,8583865.480836237
2025-06-01,8585945.292682927
2025-06-08,8588025.104529617
2025-06-15,8590104.916376306
2025-06-22,8592184.728222996
2025-06-29,8594264.540069686
2025-07-06,8596344.351916377
2025-07-13,8598424.163763067
2025-07-20,8600503.975609757
2025-07-27,8602583.787456445
2025-08-03,8604663.599303136
2025-08-10,8606743.411149826
2025-08-17,8608823.222996516
2025-08-24,8610903.034843206
2025-08-31,8612982.846689895
2025-09-07,8615062.658536585
2025-09-14,8617142.470383275
2025-09-21,8619222.282229966
2025-09-28,8621302.094076656
2025-10-05,8623381.905923344
2025-10-12,8625461.717770034
2025-10-19,8627541.529616725
2025-10-26,8629621.341463415
2025-11-02,8631701.153310105
2025-11-09,8633780.965156794
2025-11-16,8635860.777003484
2025-11-23,8637940.588850174
2025-11-30,8640020.400696864
2025-12-07,8642100.212543555
2025-12-14,8644180.024390243
2025-12-21,8646259.836236933
2025-12-28,8648339.648083623
2026-01-04,8650419.459930314
2026-01-11,8652499.271777004
2026-01-18,8654579.083623694
2026-01-25,8656658.895470383
2026-02-01,8658738.707317073
2026-02-08,8660818.519163763
2026-02-15,8662898.331010453
2026-02-22,8664978.142857144
2026-03-01,8667057.954703832
2026-03-08,8669137.766550522
2026-03-15,8671217.578397213
2026-03-22,8673297.390243903
2026-03-29,8675377.202090593
2026-04-05,8677457.013937281
2026-04-12,8679536.825783972
2026-04-19,8681616.637630662
2026-04-26,8683696.449477352
2026-05-03,8685776.261324042
2026-05-10,8687856.07317073
2026-05-17,8689935.885017421
2026-05-24,8692015.696864111
2026-05-31,8694095.508710802
2026-06-07,8696175.320557492
2026-06-14,8698255.132404182
2026-06-21,8700334.94425087
2026-06-28,8702414.75609756
2026-07-05,8704494.567944251
2026-07-12,8706574.379790941
2026-07-19,8708654.191637632
2026-07-26,8710734.00348432
2026-08-02,8712813.81533101
2026-08-09,8714893.6271777
2026-08-16,8716973.43902439
2026-08-23,8719053.25087108
2026-08-30,8721133.06271777
2026-09-06,8723212.87456446
2026-09-13,8725292.68641115
2026-09-20,8727372.49825784
2026-09-27,8729452.31010453
2026-10-04,8731532.121951219
2026-10-11,8733611.933797909
2026-10-18,8735691.7456446
2026-10-25,8737771.55749129
2026-11-01,8739851.36933798
2026-11-08,8741931.181184668
2026-11-15,8744010.993031358
2026-11-22,8746090.804878049
2026-11-29,8748170.616724739
2026-12-06,8750250.42857143
2026-12-13,8752330.24041812
2026-12-20,8754410.052264808
2026-12-27,8756489.864111498
2027-01-03,8758569.675958188
2027-01-10,8760649.487804879
2027-01-17,8762729.299651569
2027-01-24,8764809.111498257
2027-01-31,8766888.923344947
2027-02-07,8768968.735191638
2027-02-14,8771048.547038328
2027-02-21,8773128.358885018
2027-02-28,8775208.170731707
2027-03-07,8777287.982578397
2027-03-14,8779367.794425087
2027-03-21,8781447.606271777
2027-03-28,8783527.418118468
2027-04-04,8785607.229965156
2027-04-11,8787687.041811846
2027-04-18,8789766.853658536
2027-04-25,8791846.665505227
2027-05-02,8793926.477351917
2027-05-09,8796006.289198607
2027-05-16,8798086.101045296
2027-05-23,8800165.912891986
2027-05-30,8802245.724738676
2027-06-06,8804325.536585366
2027-06-13,8806405.348432057
2027-06-20,8808485.160278745
2027-06-27,8810564.972125435
2027-07-04,8812644.783972126
2027-07-11,8814724.595818816
2027-07-18,8816804.407665506
2027-07-25,8818884.219512194
2027-08-01,8820964.031358885
2027-08-08,8823043.843205575
2027-08-15,8825123.655052265
2027-08-22,8827203.466898955
2027-08-29,8829283.278745644
2027-09-05,8831363.090592334
2027-09-12,8833442.902439024
2027-09-19,8835522.714285715
2027-09-26,8837602.526132405
2027-10-03,8839682.337979093
2027-10-10,8841762.149825783
2027-10-17,8843841.961672474
2027-10-24,8845921.773519164
2027-10-31,8848001.585365854
2027-11-07,8850081.397212543
2027-11-14,8852161.209059233
2027-11-21,8854241.020905923
2027-11-28,8856320.832752613
2027-12-05,8858400.644599304
2027-12-12,8860480.456445994
2027-12-19,8862560.268292682
2027-12-26,8864640.080139372
2028-01-02,8866719.891986063
2028-01-09,8868799.703832753
2028-01-16,8870879.515679443
2028-01-23,8872959.327526132
2028-01-30,8875039.139372822
2028-02-06,8877118.951219512
2028-02-13,8879198.763066202
2028-02-20,8881278.574912893
2028-02-27,8883358.386759581
2028-03-05,8885438.198606271
2028-03-12,8887518.010452962
2028-03-19,8889597.822299652
2028-03-26,8891677.634146342
2028-04-02,8893757.445993032
2028-04-09,8895837.25783972
2028-04-16,8897917.069686411
2028-04-23,8899996.881533101
2028-04-30,8902076.693379791
2028-05-07,8904156.505226482
2028-05-14,8906236.31707317
2028-05-21,8908316.12891986
2028-05-28,8910395.94076655
2028-06-04,8912475.75261324
2028-06-11,8914555.564459931
2028-06-18,8916635.37630662
2028-06-25,8918715.18815331
2028-07-02,8920795.0
2028-07-09,8922874.81184669
2028-07-16,8924954.62369338
2028-07-23,8927034.435540069
2028-07-30,8929114.24738676
2028-08-06,8931194.05923345
2028-08-13,8933273.87108014
2028-08-20,8935353.68292683
2028-08-27,8937433.494773518
2028-09-03,8939513.306620209
2028-09-10,8941593.118466899
2028-09-17,8943672.930313589
2028-09-24,8945752.74216028
2028-10-01,8947832.554006968
2028-10-08,8949912.365853658
2028-10-15,8951992.177700348
2028-10-22,8954071.989547038
2028-10-29,8956151.801393729
2028-11-05,8958231.613240419
2028-11-12,8960311.425087107
2028-11-19,8962391.236933798
2028-11-26,8964471.048780488
