Date,Population
2023-01-01,8323889
2024-01-01,8453902
2025-01-01,8580341
2026-01-01,8702446
2027-01-01,8820393
2028-01-01,8933348
2029-01-01,9041818
2030-01-01,9145140
2031-01-01,9243603
2032-01-01,9336512
2033-01-01,9427851
2034-01-01,9517701
2035-01-01,9606150
2036-01-01,9693298
2037-01-01,9779151
2038-01-01,9863776
2039-01-01,9947242
2040-01-01,10029571
2041-01-01,10110747
2042-01-01,10190742
2043-01-01,10269523
2044-01-01,10347053
2045-01-01,10423309
2046-01-01,10498248
2047-01-01,10571845
2048-01-01,10644117
2049-01-01,10715051
2050-01-01,10784657
2051-01-01,10852988
2052-01-01,10920102
2053-01-01,10986093
2054-01-01,11051038
2055-01-01,11115048
2056-01-01,11178188
2057-01-01,11240534
2058-01-01,11302149
2059-01-01,11363061
2060-01-01,11423305
2061-01-01,11482897
2062-01-01,11541857
2063-01-01,11600209
2064-01-01,11657954
2065-01-01,11715112
2066-01-01,11771677
2067-01-01,11827657
2068-01-01,11883035
2069-01-01,11937781
2070-01-01,11991839
2071-01-01,12045167
