DATETIME,SOI,SST_DIFF,enso
2009-12-31,13.8,1.59,0
2010-01-01,11.17,1.59,0
2010-01-02,8.91,1.59,0
2010-01-03,4.48,1.59,0
2010-01-04,14.09,1.55,0
2010-01-05,11.69,1.55,0
2010-01-06,-3.43,1.55,0
2010-01-07,-5.88,1.55,0
2010-01-08,-10.69,1.55,1
2010-01-09,-22.42,1.55,1
2010-01-10,-34.43,1.55,1
2010-01-11,-26.52,1.51,1
2010-01-12,-4.85,1.51,0
2010-01-13,-2.73,1.51,0
2010-01-14,-6.12,1.51,0
2010-01-15,-3.06,1.51,0
2010-01-16,-1.74,1.51,0
2010-01-17,-0.04,1.51,0
2010-01-18,-6.64,1.27,0
2010-01-19,-13.0,1.27,1
2010-01-20,-16.39,1.27,1
2010-01-21,-13.18,1.27,1
2010-01-22,-12.1,1.27,1
2010-01-23,-12.24,1.27,1
2010-01-24,-5.65,1.27,0
2010-01-25,-3.1,1.18,0
2010-01-26,-3.1,1.18,0
2010-01-27,-9.46,1.18,1
2010-01-28,-17.33,1.18,1
2010-01-29,-11.06,1.18,1
2010-01-30,-18.6,1.18,1
2010-01-31,-42.49,1.18,1
2010-02-01,-58.07,0.86,1
2010-02-02,-53.51,0.86,1
2010-02-03,-44.09,0.86,1
2010-02-04,-60.28,0.86,1
2010-02-05,-80.41,0.86,1
2010-02-06,-58.5,0.86,1
2010-02-07,-44.24,0.86,1
2010-02-08,-37.61,0.93,1
2010-02-09,-26.42,0.93,1
2010-02-10,-27.43,0.93,1
2010-02-11,-24.69,0.93,1
2010-02-12,-16.33,0.93,1
2010-02-13,-9.89,0.93,1
2010-02-14,-8.6,0.93,1
2010-02-15,-7.68,0.88,0
2010-02-16,-2.45,0.88,0
2010-02-17,-5.57,0.88,0
2010-02-18,-5.09,0.88,0
2010-02-19,-7.35,0.88,0
2010-02-20,-7.59,0.88,0
2010-02-21,0.67,0.88,0
2010-02-22,8.21,1.05,0
2010-02-23,6.92,1.05,0
2010-02-24,10.47,1.05,0
2010-02-25,13.21,1.05,0
2010-02-26,10.9,1.05,0
2010-02-27,20.27,1.05,0
2010-02-28,4.71,1.05,0
2010-03-01,-6.56,0.9,0
2010-03-02,-12.54,0.9,1
2010-03-03,-25.42,0.9,1
2010-03-04,-22.83,0.9,1
2010-03-05,-35.23,0.9,1
2010-03-06,-33.36,0.9,1
2010-03-07,-22.83,0.9,1
2010-03-08,-15.65,0.85,1
2010-03-09,-14.46,0.85,1
2010-03-10,-16.8,0.85,1
2010-03-11,-25.9,0.85,1
2010-03-12,-29.49,0.85,1
2010-03-13,-24.56,0.85,1
2010-03-14,-12.49,0.85,1
2010-03-15,-5.17,0.86,0
2010-03-16,-2.78,0.86,0
2010-03-17,-2.78,0.86,0
2010-03-18,-9.1,0.86,1
2010-03-19,-7.9,0.86,0
2010-03-20,-13.74,0.86,1
2010-03-21,-12.97,0.86,1
2010-03-22,-8.71,0.72,0
2010-03-23,-1.63,0.72,0
2010-03-24,7.18,0.72,0
2010-03-25,4.69,0.72,0
2010-03-26,1.91,0.72,0
2010-03-27,-3.83,0.72,0
2010-03-28,-2.97,0.72,0
2010-03-29,5.74,0.54,0
2010-03-30,7.85,0.54,0
2010-03-31,7.8,0.54,0
2010-04-01,15.21,0.54,0
2010-04-02,23.07,0.54,0
2010-04-03,22.78,0.54,0
2010-04-04,25.88,0.54,0
2010-04-05,27.18,0.41,0
2010-04-06,28.55,0.41,0
2010-04-07,22.64,0.41,0
2010-04-08,12.33,0.41,0
2010-04-09,5.91,0.41,0
2010-04-10,14.56,0.41,0
2010-04-11,12.4,0.41,0
2010-04-12,19.47,0.46,0
2010-04-13,15.5,0.46,0
2010-04-14,5.41,0.46,0
2010-04-15,0.5,0.46,0
2010-04-16,3.32,0.46,0
2010-04-17,11.17,0.46,0
2010-04-18,9.37,0.46,0
2010-04-19,12.26,0.27,0
2010-04-20,17.74,0.27,0
2010-04-21,20.55,0.27,0
2010-04-22,15.79,0.27,0
2010-04-23,1.44,0.27,0
2010-04-24,0.5,0.27,0
2010-04-25,10.53,0.27,0
2010-04-26,14.78,0.17,0
2010-04-27,5.69,0.17,0
2010-04-28,0.65,0.17,0
2010-04-29,-8.65,0.17,0
2010-04-30,-2.6,0.17,0
2010-05-01,8.83,0.17,0
2010-05-02,12.43,0.17,0
2010-05-03,14.57,0.01,0
2010-05-04,22.08,0.01,0
2010-05-05,27.06,0.01,0
2010-05-06,8.14,0.01,0
2010-05-07,-11.32,0.01,0
2010-05-08,-3.28,0.01,0
2010-05-09,8.6,0.01,0
2010-05-10,18.56,-0.26,0
2010-05-11,9.21,-0.26,0
2010-05-12,6.68,-0.26,0
2010-05-13,-6.72,-0.26,0
2010-05-14,0.02,-0.26,0
2010-05-15,5.76,-0.26,0
2010-05-16,15.95,-0.26,0
2010-05-17,16.87,-0.52,0
2010-05-18,16.18,-0.52,0
2010-05-19,6.91,-0.52,0
2010-05-20,1.78,-0.52,0
2010-05-21,-11.32,-0.52,0
2010-05-22,-4.04,-0.52,0
2010-05-23,16.49,-0.52,0
2010-05-24,6.76,-0.5,0
2010-05-25,2.32,-0.5,0
2010-05-26,17.48,-0.5,0
2010-05-27,32.04,-0.5,0
2010-05-28,31.5,-0.5,0
2010-05-29,22.39,-0.5,0
2010-05-30,18.02,-0.5,0
2010-05-31,14.96,-0.62,0
2010-06-01,12.79,-0.62,0
2010-06-02,12.79,-0.62,0
2010-06-03,1.48,-0.62,0
2010-06-04,-7.59,-0.62,0
2010-06-05,-6.05,-0.62,0
2010-06-06,0.14,-0.62,0
2010-06-07,-8.15,-0.67,0
2010-06-08,-16.1,-0.67,0
2010-06-09,-9.0,-0.67,0
2010-06-10,-4.29,-0.67,0
2010-06-11,-4.22,-0.67,0
2010-06-12,0.35,-0.67,0
2010-06-13,2.88,-0.67,0
2010-06-14,-3.66,-0.81,0
2010-06-15,-1.97,-0.81,0
2010-06-16,5.06,-0.81,0
2010-06-17,-1.34,-0.81,0
2010-06-18,4.85,-0.81,0
2010-06-19,0.7,-0.81,0
2010-06-20,-1.69,-0.81,0
2010-06-21,-1.06,-0.88,0
2010-06-22,-8.51,-0.88,0
2010-06-23,-6.61,-0.88,0
2010-06-24,-0.07,-0.88,0
2010-06-25,11.04,-0.88,-1
2010-06-26,3.16,-0.88,0
