location,date,time,temp,datetime,year
01/01/2010,01:00,20:5040,21.4,,
01/01/2010,02:00,20:300,20.5,,
01/01/2010,03:00,20:2760,20.3,,
01/01/2010,04:00,20:300,20.3,,
01/01/2010,05:00,20:9600000000000240,20.6,,
01/01/2010,06:00,20:1320,20.9,,
01/01/2010,07:00,20:5880,20.8,,
01/01/2010,08:00,22:1560,22.4,,
01/01/2010,09:00,23:3240,24.0,,
01/01/2010,10:00,24:120,24.2,,
01/01/2010,11:00,24:240,24.1,,
01/01/2010,12:00,24:52800000000000176,24.7,,
01/01/2010,13:00,26:1680,26.4,,
01/01/2010,14:00,27:2760,27.5,,
01/01/2010,15:00,27:360,27.7,,
01/01/2010,16:00,27:2520,27.7,,
01/01/2010,17:00,27:1920,27.3,,
01/01/2010,18:00,27:3599999999999700,27.4,,
01/01/2010,19:00,26:720,26.4,,
01/01/2010,20:00,25:00,25.3,,
01/01/2010,21:00,24:180,24.6,,
01/01/2010,22:00,23:52800000000000176,24.0,,
01/01/2010,23:00,23:1320,23.4,,
01/01/2011,00:00,19:3960,19.0,,
01/01/2011,01:00,19:60,19.2,,
01/01/2011,02:00,18:4080,19.4,,
01/01/2011,03:00,18:240,19.2,,
01/01/2011,04:00,18:120,18.6,,
01/01/2011,05:00,17:3960,18.1,,
01/01/2011,06:00,18:2640,18.7,,
01/01/2011,07:00,21:1560,21.4,,
01/01/2011,08:00,24:1560,24.2,,
01/01/2011,09:00,27:60,27.4,,
01/01/2011,10:00,29:4560,29.7,,
01/01/2011,11:00,32:1320,31.8,,
01/01/2011,12:00,33:5640,34.1,,
01/01/2011,13:00,35:3480,35.2,,
01/01/2011,14:00,36:5280,37.1,,
01/01/2011,15:00,37:960,37.7,,
01/01/2011,16:00,35:3480,35.5,,
01/01/2011,17:00,33:00,33.3,,
01/01/2011,18:00,29:420,29.9,,
01/01/2011,19:00,27:5040,27.8,,
01/01/2011,20:00,25:3240,25.7,,
01/01/2011,21:00,23:1680,23.1,,
01/01/2011,22:00,21:540,21.5,,
01/01/2011,23:00,21:180,21.2,,
01/01/2012,00:00,14:25199999999999880,13.4,,
01/01/2012,01:00,13:4320,13.0,,
01/01/2012,02:00,13:1080,12.6,,
01/01/2012,03:00,12:4920,12.7,,
01/01/2012,04:00,12:24000000000000120,12.4,,
01/01/2012,05:00,12:60,12.4,,
01/01/2012,06:00,12:55199999999999880,12.8,,
01/01/2012,07:00,16:00,15.9,,
01/01/2012,08:00,19:240,19.3,,
01/01/2012,09:00,21:2520,21.7,,
01/01/2012,10:00,22:5880,23.2,,
01/01/2012,11:00,24:4320,25.0,,
01/01/2012,12:00,26:1080,26.4,,
01/01/2012,13:00,27:360,28.0,,
01/01/2012,14:00,28:2760,28.6,,
01/01/2012,15:00,28:51600000000000176,28.9,,
01/01/2012,16:00,28:22800000000000180,28.5,,
01/01/2012,17:00,27:3840,27.8,,
01/01/2012,18:00,26:300,26.7,,
01/01/2012,19:00,24:3480,24.9,,
01/01/2012,20:00,22:240,22.1,,
01/01/2012,21:00,20:00,20.0,,
01/01/2012,22:00,18:2760,17.6,,
01/01/2012,23:00,17:22800000000000180,16.1,,
01/01/2013,00:00,21:685714285714320,20.9,,
01/01/2013,01:00,20:41142857142857216,20.0,,
01/01/2013,02:00,19:48857142857143024,19.4,,
01/01/2013,03:00,19:771428571428580,18.6,,
01/01/2013,04:00,18:27428571428571360,18.0,,
01/01/2013,05:00,17:5828571428571420,17.5,,
01/01/2013,06:00,18:3428571428571420,17.3,,
01/01/2013,07:00,20:29142857142857280,20.2,,
01/01/2013,08:00,22:41142857142857216,22.5,,
01/01/2013,09:00,24:5828571428571420,24.4,,
01/01/2013,10:00,27:3685714285714320,26.7,,
01/01/2013,11:00,30:4285714285714620,29.7,,
01/01/2013,12:00,32:300,32.4,,
01/01/2013,13:00,34:514285714285680,34.5,,
01/01/2013,14:00,34:5657142857142840,34.9,,
01/01/2013,15:00,34:2571428571428640,35.0,,
01/01/2013,16:00,31:42857142857142896,32.0,,
01/01/2013,17:00,30:12857142857142900,29.6,,
01/01/2013,18:00,29:2571428571428640,27.6,,
01/01/2013,19:00,26:4971428571428580,25.9,,
01/01/2013,20:00,23:3685714285714320,23.6,,
01/01/2013,21:00,22:1028571428571420,21.9,,
01/01/2013,22:00,20:57428571428571360,20.5,,
01/01/2013,23:00,20:3771428571428580,20.0,,
01/01/2014,00:00,19:30857142857142720,20.3,,
01/01/2014,01:00,19:7714285714285380,19.9,,
01/01/2014,02:00,18:3171428571428580,19.5,,
01/01/2014,03:00,18:29142857142857040,19.3,,
01/01/2014,04:00,18:2571428571428640,18.7,,
01/01/2014,05:00,17:4971428571428580,18.2,,
01/01/2014,06:00,17:54857142857142896,18.5,,
01/01/2014,07:00,19:180,20.0,,
01/01/2014,08:00,20:3685714285714320,21.2,,
01/01/2014,09:00,22:1028571428571420,22.8,,
01/01/2014,10:00,23:34285714285714380,24.3,,
01/01/2014,11:00,25:21428571428571480,25.9,,
01/01/2014,12:00,27:857142857142720,27.5,,
01/01/2014,13:00,27:5828571428571420,28.6,,
01/01/2014,14:00,28:2228571428571420,28.7,,
01/01/2014,15:00,26:4628571428571420,26.9,,
01/01/2014,16:00,25:21428571428571480,25.7,,
01/01/2014,17:00,24:25714285714285620,24.8,,
01/01/2014,18:00,23:5742857142857160,24.5,,
01/01/2014,19:00,23:33428571428571420,24.1,,
01/01/2014,20:00,22:420,23.2,,
01/01/2014,21:00,21:540,22.4,,
01/01/2014,22:00,21:240,21.6,,
01/01/2014,23:00,21:1028571428571420,21.5,,
01/01/2015,00:00,20:480,21.7,,
01/01/2015,01:00,20:4500,21.6,,
01/01/2015,02:00,20:2899999999999980,21.15,,
01/01/2015,03:00,19:3199999999999980,19.75,,
01/01/2015,04:00,18:26000000000000040,18.85,,
01/01/2015,05:00,17:49999999999999920,18.1,,
01/01/2015,06:00,17:55000000000000080,18.0,,
01/01/2015,07:00,19:3499999999999980,19.9,,
01/01/2015,08:00,21:25000000000000080,22.1,,
01/01/2015,09:00,23:30999999999999960,24.2,,
01/01/2015,10:00,25:8000000000000160,25.4,,
01/01/2015,11:00,26:48999999999999776,27.3,,
01/01/2015,12:00,28:3199999999999980,29.2,,
01/01/2015,13:00,30:00,30.5,,
01/01/2015,14:00,31:2700,31.9,,
01/01/2015,15:00,32:799999999999980,32.8,,
01/01/2015,16:00,31:4699999999999980,32.15,,
01/01/2015,17:00,30:3199999999999980,31.0,,
01/01/2015,18:00,28:4600000000000020,28.9,,
01/01/2015,19:00,27:2800000000000020,27.7,,
01/01/2015,20:00,25:4699999999999980,26.3,,
01/01/2015,21:00,24:480,25.5,,
01/01/2015,22:00,23:56000000000000040,24.9,,
01/01/2015,23:00,23:1399999999999980,23.85,,
01/01/2016,00:00,17:15428571428571360,17.2,,
01/01/2016,01:00,16:55714285714285616,17.1,,
01/01/2016,02:00,16:19714285714285560,16.1,,
01/01/2016,03:00,15:43714285714285680,15.1,,
01/01/2016,04:00,15:14571428571428520,15.3,,
01/01/2016,05:00,14:43714285714285680,14.9,,
01/01/2016,06:00,14:54000000000000120,14.5,,
01/01/2016,07:00,17:1371428571428580,17.3,,
01/01/2016,08:00,19:58285714285714080,20.1,,
01/01/2016,09:00,21:1628571428571420,21.1,,
01/01/2016,10:00,23:13714285714285680,23.5,,
01/01/2016,11:00,24:38571428571428520,25.1,,
01/01/2016,12:00,26:11142857142857220,26.5,,
01/01/2016,13:00,27:3428571428571420,28.2,,
01/01/2016,14:00,28:1885714285714320,28.0,,
01/01/2016,15:00,28:5142857142857100,28.4,,
