Date,Time,OAKDALE SOLAR 1h average [W/mÂ²]_tmp_table_10826_1725936841,LIVERPOOL SOLAR 1h average [W/mÂ²]_tmp_table_13674_1725936828,OAKDALE SOLAR 1h average [W/mÂ²]_tmp_table_1571_1725936844,LIVERPOOL SOLAR 1h average [W/mÂ²]_tmp_table_17401_1725936824,BRINGELLY SOLAR 1h average [W/mÂ²]_tmp_table_26071_1725936807,BRINGELLY SOLAR 1h average [W/mÂ²]_tmp_table_28091_1725936794
01/01/2010,01:00,-1.1,,,,,-4.9
01/01/2010,02:00,-1.2,,,,,-5
01/01/2010,03:00,-0.9,,,,,-4.8
01/01/2010,04:00,-1.1,,,,,-4.7
01/01/2010,05:00,-0.9,,,,,-4.5
01/01/2010,06:00,26.8,,,,,13.3
01/01/2010,07:00,113.7,,,,,66.3
01/01/2010,08:00,148.4,,,,,71.6
01/01/2010,09:00,348.8,,,,,226
01/01/2010,10:00,460,,,,,307.6
01/01/2010,11:00,449.7,,,,,332
01/01/2010,12:00,625.9,,,,,400.3
01/01/2010,13:00,537.6,,,,,423.4
01/01/2010,14:00,559.8,,,,,477.2
01/01/2010,15:00,522.2,,,,,418
01/01/2010,16:00,634.1,,,,,428.4
01/01/2010,17:00,410.7,,,,,233.6
01/01/2010,18:00,203.5,,,,,147.6
01/01/2010,19:00,49.4,,,,,45.3
01/01/2010,20:00,1.2,,,,,-1.1
01/01/2010,21:00,-1.3,,,,,-5
01/01/2010,22:00,-0.9,,,,,-4.7
01/01/2010,23:00,-1.1,,,,,-5
01/01/2010,24:00,-0.7,,,,,-4.9
02/01/2010,01:00,-1.2,,,,,-4.8
02/01/2010,02:00,-1.4,,,,,-5
02/01/2010,03:00,-1.3,,,,,-5.9
02/01/2010,04:00,-1.1,,,,,
02/01/2010,05:00,0,,,,,
02/01/2010,06:00,16.6,,,,,10.7
02/01/2010,07:00,116.2,,,,,85.8
02/01/2010,08:00,291.2,,,,,298.7
02/01/2010,09:00,397.9,,,,,454.6
02/01/2010,10:00,393.8,,,,,361.7
02/01/2010,11:00,122.9,,,,,497.6
02/01/2010,12:00,769,,,,,112.3
02/01/2010,13:00,755,,,,,727.2
02/01/2010,14:00,734.4,,,,,814.4
02/01/2010,15:00,660.2,,,,,603
02/01/2010,16:00,597.1,,,,,591.4
02/01/2010,17:00,235.7,,,,,246.4
02/01/2010,18:00,156.4,,,,,129.8
02/01/2010,19:00,33.7,,,,,65.4
02/01/2010,20:00,-0.5,,,,,-3.6
02/01/2010,21:00,-0.9,,,,,-5.3
02/01/2010,22:00,-0.2,,,,,-4.7
02/01/2010,23:00,0.5,,,,,-3.8
02/01/2010,24:00,0.3,,,,,-2.5
03/01/2010,01:00,0.1,,,,,-3.5
03/01/2010,02:00,0.1,,,,,-5.3
03/01/2010,03:00,0.2,,,,,
03/01/2010,04:00,0.1,,,,,
03/01/2010,05:00,0.2,,,,,-9.4
03/01/2010,06:00,11.9,,,,,1.9
03/01/2010,07:00,43.6,,,,,31.2
03/01/2010,08:00,97.3,,,,,78.6
03/01/2010,09:00,128.2,,,,,115.3
03/01/2010,10:00,244.5,,,,,178.7
03/01/2010,11:00,211,,,,,221.8
03/01/2010,12:00,205.5,,,,,287.9
03/01/2010,13:00,276.1,,,,,277.7
03/01/2010,14:00,167.1,,,,,220.4
03/01/2010,15:00,139,,,,,168.3
03/01/2010,16:00,95.5,,,,,138.1
03/01/2010,17:00,66.9,,,,,71.2
03/01/2010,18:00,31.5,,,,,35.5
03/01/2010,19:00,14.8,,,,,8.8
03/01/2010,20:00,0.7,,,,,-3.8
03/01/2010,21:00,0,,,,,-4
03/01/2010,22:00,0.2,,,,,-4.2
03/01/2010,23:00,0.1,,,,,-4
03/01/2010,24:00,0,,,,,-4.2
04/01/2010,01:00,0.1,,,,,-9.8
04/01/2010,02:00,0.3,,,,,
04/01/2010,03:00,0.1,,,,,
04/01/2010,04:00,0.1,,,,,-4.2
04/01/2010,05:00,0.5,,,,,-3.6
04/01/2010,06:00,10.8,,,,,16.6
04/01/2010,07:00,35.3,,,,,121
04/01/2010,08:00,81.9,,,,,241.2
04/01/2010,09:00,136,,,,,284.7
04/01/2010,10:00,220,,,,,313.3
04/01/2010,11:00,557.4,,,,,437.5
04/01/2010,12:00,474.9,,,,,231.4
04/01/2010,13:00,634.6,,,,,259.4
04/01/2010,14:00,190.4,,,,,329.6
04/01/2010,15:00,216.7,,,,,233.8
04/01/2010,16:00,122.2,,,,,262.3
04/01/2010,17:00,197.7,,,,,140.5
04/01/2010,18:00,94.8,,,,,131
04/01/2010,19:00,33.5,,,,,23.7
04/01/2010,20:00,1,,,,,-2.6
04/01/2010,21:00,-0.3,,,,,-4.5
04/01/2010,22:00,0,,,,,
04/01/2010,23:00,-0.1,,,,,
04/01/2010,24:00,0,,,,,-8.9
05/01/2010,01:00,-0.1,,,,,-4.5
05/01/2010,02:00,-0.5,,,,,-5.8
05/01/2010,03:00,-2.1,,,,,-5.2
05/01/2010,04:00,-1.8,,,,,-5.3
05/01/2010,05:00,-0.3,,,,,-4.1
05/01/2010,06:00,52.6,,,,,28
05/01/2010,07:00,230.5,,,,,225.3
05/01/2010,08:00,484.7,,,,,428.9
05/01/2010,09:00,608.7,,,,,664.1
05/01/2010,10:00,879.4,,,,,674
05/01/2010,11:00,1012.9,,,,,999.8
05/01/2010,12:00,1088.5,,,,,1079.6
05/01/2010,13:00,1100.6,,,,,1082.3
05/01/2010,14:00,790.8,,,,,993.6
05/01/2010,15:00,219.5,,,,,254.7
05/01/2010,16:00,509.9,,,,,276.7
